"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Neighborhood","Morningside - Lenox Park","GA","Atlanta-Sandy Springs-Marietta, GA",4901,8,0.977,12.9032,82,3,4.68354430379747
"Neighborhood","East Atlanta","GA","Atlanta-Sandy Springs-Marietta, GA",5551,8,0.9801,15.0376,92.5,8,4.68354430379747
"Neighborhood","North Buckhead","GA","Atlanta-Sandy Springs-Marietta, GA",4895,8,0.9648,15.1976,83,9,4.68354430379747
"Neighborhood","Pine Hills","GA","Atlanta-Sandy Springs-Marietta, GA",4803,8,0.9754,7.5117,85,4,4.68354430379747
"Neighborhood","Old Fourth Ward","GA","Atlanta-Sandy Springs-Marietta, GA",4315,8,0.9856,17.7914,74,1,4.68354430379747
"Neighborhood","Midtown","GA","Atlanta-Sandy Springs-Marietta, GA",2435,8,0.9769,12.9799,70.5,2,4.68354430379747
"Neighborhood","Garden Hills","GA","Atlanta-Sandy Springs-Marietta, GA",5635,8,0.961923847695391,20.7792,93,10,4.68354430379747
"Neighborhood","Kirkwood","GA","Atlanta-Sandy Springs-Marietta, GA",5287,8,0.9699,13.6612,81,6,4.68354430379747
"Neighborhood","Ormewood Park","GA","Atlanta-Sandy Springs-Marietta, GA",5617,8,0.941666666666667,11.7117,74,7,4.68354430379747
"Neighborhood","Grant Park","GA","Atlanta-Sandy Springs-Marietta, GA",5158,8,0.9824,16.25,85,5,4.68354430379747
"Neighborhood","Fourth Ward","NC","Charlotte-Gastonia-Concord, NC-SC",5614,30,0.968181818181818,12,102.5,7.85714285714286,2.65822784810127
"Neighborhood","Back Creek Church Road","NC","Charlotte-Gastonia-Concord, NC-SC",5210,30,0.9673,7.767,97,5.71428571428571,2.65822784810127
"Neighborhood","Myers Park","NC","Charlotte-Gastonia-Concord, NC-SC",4022,30,0.9428,12.093,111,10,2.65822784810127
"Neighborhood","Beverly Woods","NC","Charlotte-Gastonia-Concord, NC-SC",5381,30,0.953932584269663,8.6538,104,7.14285714285714,2.65822784810127
"Neighborhood","Harwood Lane","NC","Charlotte-Gastonia-Concord, NC-SC",5565,30,0.9717,5.5172,90.5,3.57142857142857,2.65822784810127
"Neighborhood","Ballantyne West","NC","Charlotte-Gastonia-Concord, NC-SC",4343,30,0.9725,9.4545,77.5,2.85714285714286,2.65822784810127
