"RegionName","City","State","Metro","CountyName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",4.7442550037064,4.5147308184977,4.8858151854031,5.0086355785837,4.8979591836734,5.1425861216746,5.0420168067226,5.1397033459813,5.1546391752577,5.0632911392405,5.2263065766441,5.4565296471444,5.4054054054054,5,5.3005464480874,4.9809961992398,5.0131926121372,4.9049049049049,5.2631578947368,5.420054200542,5.2307692307692,5.4565296471444,5.20572450805,4.9693251533742,4.9809961992398,4.8484848484848,5.005005005005,4.8096192384769,4.7619047619047,4.6511627906976,5.1186440677966,5.079365079365,5.2642661612971,5.1612903225806,5.4545454545454,4.8677248677248,4.6511627906976,4.0080160320641,4.3087971274685,4.6326975476839,4.7237790232185,5,5,4.7656870532168,4.8096192384769,4.5468323734464,4.2316258351893,4.1761087730657,4.4368600682593,4.2863266180882,4.5217391304347,4.4943820224719,4.4119117647058,4.8620689655172,5.420054200542,5.2380952380952,5.5433070866141,4.8780487804878,4.7869674185463
"Paradise","Las Vegas","NV","Las Vegas","Clark",9.1666666666666,8.695652173913,8.7359687652513,7.6982294072363,8.0882352941176,8.5714285714285,8.3431952662721,9.2105263157894,9.3879429360331,9.5419847328244,9.6551724137931,9.3181818181818,10,9.5283468318246,9.1239879923587,8.75,8.36820083682,7.9155672823218,8.2908754052802,8.0064051240992,7.9079079079079,9.090909090909,8.7032201914708,7.84,8.433734939759,8.311475409836,8.311475409836,7.4747474747474,7.9883381924198,7.9775051124744,7.0542635658914,7.1428571428571,6.2893081761006,6.25,6.1890472618154,6.5689825485676,6.7796610169491,5.9670059670059,6.6666666666666,6.8741893644617,6.6724482988659,6.1326658322903,6.2507813476684,6.25,6.2893081761006,6.0398690865813,6.0574948665297,6.6755674232309,6.6666666666666,6.25,5.7591623036649,6.0528830837846,6.0150375939849,4.9180327868852,5.2238805970149,6.25,5.7142857142857,5.5555555555555,5.5555555555555
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",10.0250626566416,10.2,10.5374077976817,11.9420989143546,10.0334448160535,10.6382978723404,10.0200400801603,11.5146147032772,12.2249388753056,11.7820324005891,11.7647058823529,11.7330462863293,12.65625,10.8695652173913,11.1111111111111,10.2803738317757,10,9.2727272727272,10,10,9.1116173120728,9.5890410958904,9.5465393794749,8.8353413654618,9.5238095238095,8.5,10.5865522174535,12.8205128205128,10.1010101010101,9.9181073703366,9.009009009009,8.7032201914708,7.3359073359073,8.786610878661,9.090909090909,7.2449593740595,6.2265566391597,6,8.2764505119453,8.2764505119453,6.25,5.889281507656,4.6808510638297,5.9607843137254,5.8823529411764,5.8823529411764,4.9049049049049,5.3684210526315,4.7619047619047,4.4585987261146,5.3497942386831,4.8621553884711,4.4347826086956,4.6200607902735,4.6363636363636,4.1875,4.1701417848206,4.8571428571428,5.2631578947368
"Upper West Side","New York","NY","New York","New York",5.8181818181818,5.8047493403693,4.8571428571428,4.7641734159123,5.1470588235294,5.0420168067226,5.0251256281407,5.3684210526315,5.3179190751445,5.181347150259,5.1282051282051,4.5506257110352,20.3333333333333,4.5970149253731,4.7732696897374,5.0062578222778,4.9523809523809,4.9523809523809,5,4.8484848484848,4.8096192384769,5.34375,5.1878354203935,4.7826086956521,5.4127198917456,5.2173913043478,5,4.5407636738906,4.4347826086956,4.4642857142857,4.4247787610619,4.6875,4.8,4.8,4.7826086956521,4.5454545454545,4.4444444444444,4.4444444444444,4.8096192384769,5.1396648044692,5.2631578947368,5.079365079365,5,5.2631578947368,4.6803652968036,5.2287581699346,5.2631578947368,5.5617352614015,5.008347245409,4.7619047619047,5.1396648044692,6.068376068376,5.8441558441558,5.1515151515151,4.7826086956521,4.968322774258,5.2525252525252,5.0279329608938,4.8096192384769
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",8.5763293310463,8.3361120373457,9.090909090909,12.5052105043768,9.0950432014552,9.6989966555183,10.0401606425702,9.1324200913242,9.0957731407169,9.3974571586511,8.2074316047366,7.5037518759379,8.2951229679032,7.5037518759379,7.168458781362,6.9204152249134,7.6738609112709,7.8330474556889,8.0267558528428,7.9916317991631,7.4349442379182,7.3437400943143,6.6985645933014,7.0351758793969,6.2526052521884,6.1224489795918,5.857740585774,6.0722891566265,5.5366045657307,5.0025012506253,5.0795279630579,6.1930783242258,5.6782334384858,8.0032012805122,7.0351758793969,6.6711140760507,4.7936507936507,5.0632911392405,5.0632911392405,5.0632911392405,5.0251256281407,5,5.6140350877192,6.5447270648756,5.0847457627118,5.079365079365,5.5555555555555,4.9024390243902,4.9024390243902,5.6873392397827,4.9024390243902,5.5576139310855,5.2631578947368,4.5454545454545,5.1741979993101,5,5.7159188339525,5.5710306406685,5.420054200542
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",6.054279749478,5.9607843137254,5.4555373704309,5.5710306406685,5.4736842105263,6.5676309616888,6.9444444444444,7.0796460176991,7.1530758226037,6.6666666666666,7.108239095315,6.9463739927757,6.6755674232309,6.1176470588235,6.7796610169491,6.5454545454545,6.5743944636678,6.1349693251533,6.0085836909871,6.1349693251533,6.145181476846,6.2519537355423,6.6685190330647,6.5554072096128,6.338028169014,5.889281507656,5.7306590257879,5.1,5.0333333333333,5.2631578947368,5.3821313240043,5.76,5.76,5.5795422031473,5.8910162002945,5.5570991942206,4.6522447080716,4.6522447080716,5.2287581699346,5.7398630858346,4.8058616511855,4.9149149149149,5.3667262969588,4.7511312217194,4.7675804529201,4.0899795501022,4.4543429844097,5.6111111111111,4.7619047619047,3.9473684210526,4.5112781954887,4.4124135902338,4.7694753577106,4.9079754601226,5.1761517615176,4.5841150719199,4.7619047619047,4.3541364296081,4.4586897179253
"Upper East Side","New York","NY","New York","New York",6.3324538258575,5.5405405405405,5.6047197640117,5.7306590257879,5.6020371044016,5.0632911392405,5.0125313283208,5.1724137931034,5.6637168141592,5.2910052910052,5.4054054054054,5.4736842105263,8.7162544169611,5.2700922266139,5.3481894150417,5.4869684499314,5.9561128526645,5.7940808670279,6.2146892655367,5.4794520547945,5.5089820359281,5.5555555555555,5.2631578947368,5.5617352614015,5.2631578947368,5.3097345132743,5.0179211469534,5.0279329608938,5.1396648044692,5.0104384133611,5.050505050505,5.0632911392405,5.1347881899871,5.1724137931034,5.1525423728813,4.9295774647887,5,4.9523809523809,5,5.5555555555555,5.6482670089858,5.8823529411764,5.5263157894736,5.8638743455497,5.2631578947368,4.9921996879875,4.8,5.2083333333333,5.009633911368,5.0125313283208,5.4237288135593,5.5710306406685,5.4794520547945,5.3684210526315,5.3404539385847,5.2380952380952,5.6818181818181,5.7142857142857,5.2631578947368
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",10.7858243451463,10.01001001001,9.3181818181818,9.0661006670709,9.6969696969696,9.4545454545454,9.1919191919191,10,10.4938271604938,10.5941176470588,11.5473441108545,10.0200400801603,11.2994350282485,10.0200400801603,10,10.0440881763527,10,9.9639855942376,9.9639855942376,10,10,9.6501809408926,10,10,8.780487804878,9.4339622641509,8.0133555926544,7.8880641740814,9.0917356123283,9.6267190569744,8.3333333333333,8.235294117647,8.5,7.9428117553613,6.8965517241379,7.168458781362,7.5757575757575,8.0008,6.668,6.4743967039434,6.0350421804023,6.6095752629461,7.0175438596491,7.0175438596491,8.0645161290322,8,7.7519379844961,8.8135593220338,8.0064051240992,7.5062552126772,6.9266589057043,6.2578222778473,5.396402398401,6.253908692933,6.4705882352941,6.6455696202531,6.7469879518072,5.8201058201058,5.6111111111111
"East New York","New York","NY","New York","Kings",6.6889632107023,6.0075093867334,8,10.0250626566416,8.4507042253521,8.4507042253521,8.5714285714285,9.5588235294117,12.0481927710843,8.0267558528428,7.0175438596491,7.6712328767123,7.0175438596491,7.0588235294117,6.813627254509,6.5332916536417,8.8529411764705,8.1832953790682,7.9155672823218,7.9155672823218,8.5959885386819,9.1185410334346,10.752688172043,6.269592476489,6.269592476489,9.317975722672,9.317975722672,10.752688172043,8.0267558528428,6.3324538258575,7.6706827309236,5.5263157894736,5.0125313283208,4,4,6.3492063492063,5.5710306406685,8.5959885386819,5.5710306406685,5.5710306406685,5.5710306406685,7.4349442379182,4.0382769966865,5.4552826459684,6.0150375939849,5.4644808743169,5.7306590257879,5.7306590257879,7.6923076923076,6.9930069930069,7.2356215213358,6.2,6.2,4.3478449906303,8.3333333333333,8.6108572523812,5.8997050147492,4.0053404539385,2.6217228464419
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",9.7502793296089,10,7.6982294072363,8.0321285140562,5.993031358885,8.0001232842935,9.5242630601457,10.1010101010101,10.958904109589,10.3225806451612,9.4105993065874,8.8287227781047,9.5043201455206,9.0964220739842,8,7.2463768115942,8.6757990867579,8.1124932395889,7.2142857142857,6.516129032258,7.9051383399209,7.9051383399209,8.0321285140562,6.4255319148936,6.524916481069,6.8100358422939,7.7674757281553,6.9799906933457,6.9767441860465,7.1641791044776,7.7435897435897,6.3327948303715,5.2659294365455,7.1428571428571,7.8947368421052,7.5018754688672,7.9831932773109,5.3452115812917,4.7623809523809,5.8823529411764,8.130081300813,5.7511059819195,7.1428571428571,8.0723198370257,7.5471698113207,7.4418604651162,6.1135371179039,6.25,6.8965517241379,5.7692307692307,5.0167224080267,6.8767908309455,6.8767908309455,5.6625141562853,6.060606060606,6.060606060606,5.7251908396946,6.28125,7.0232558139534
