"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",,,,,,,,,53.6764214046823,56.4596,58.524,58.382,58.6807,58.9612,60.3452,59.6483,57.7037,57.3952,57.7746,58.0673,58.5399,59.2752,58.1359,59.1493,59.7725,60.4132,61.4853,61.5587,62.3125,62.4103,62.9696,64.0312,62.9424,62.7789,65.2966,66.7443,66.7008,67.5651,68.6849,70.3628,71.1921,70.7847,69.5913,69.3861,71.3806,69.403,68.4269,68.4575,70.1517,72.4799,72.9193,73.0069,74.3849,74.8552,74.9585,75.3163,75.2008,74.4094,76.3751,78.9826,81.1345,82.8288,83.0802,83.2834,79.7306,80.3084,79.1517,81.7215,83.1189,83.8501,82.8528,81.4262,83.093,84.3121,86.5986,87.5432,87.9845,87.2795,86.2079,87.8782,88.0412,85.4842,87.4206,89.0412,88.3363,89.3781,93.4862,93.8469,94.216,91.8319,93.2967,88.216,85.2904,85.6872,101.7821,101.7778,100.6709,99.3326,101.0383,102.3423,100.5089,98.0146,98.2572,95.7149,95.9888,95.147,95.6002,100.9879,102.338,101.8259,104.1605,104.7545,102.9336,104.5014,104.5792,104.8259,105.4214,102.4475,104.2688,105.6858,109.3272,110.3791,111.0743,113.2486,110.0279,103.3501,102.1124,104.9798,108.0486,109.8161,107.9996,112.295,123.0101,123.7732,124.4834,119.6054,119.5711,117.4107,119.3857,116.2882,117.4739,110.667,110.4813,117.0383,124.7815,123.5528,125.2008,130.834,129.5805,121.4948,119.3119,111.5713,112.1469,115.7174,124.572,121.5367,117.5239,120.2482,120.38,119.5838,116.2789,110.9933,115.3681,119.6723,112.4883,102.2973,99.8873,110.8094,115.2758,115.5132,116.4178,112.6296,108.5913,109.3283,102.5701,110.5986,113.1554,106.8095,105.3262,107.8442,112.9376,115.3514,112.8876,111.901,112.2867,102.726,100.5517,102.9783,104.9113,96.033,99.1475,109.421,114.9108,120.4129,122.0205,125.1366,121.7369,122.554,117.3037,117.077,115.7104,111.6591,116.1645,122.5584,128.5107,132.5144,132.5777,132.5568,134.3479,134.7125,130.5281,133.3494,133.8763,123.4257,130.9949,140.3017,146.6051,148.8621,152.632,152.7655,147.1684,145.0883,144.8297,147.566,139.9737
"Paradise","Las Vegas","NV","Las Vegas","Clark",71.741,71.7994,70.7296,69.945,70.3616,71.1881,72.8309,,,,,76.0995,76.5485,75.3225,75.4786,75.9117,76.4239,75.8002,75.167,73.0996,73.0561,75.2605,75.7415,76.4303,76.3297,76.1428,76.4309,76.2568,76.7188,75.6109,75.98,76.7809,75.9604,76.6007,76.8663,78.1052,78.6371,79.2354,79.1136,79.5854,78.824,77.8843,77.6461,77.8796,77.4291,79.9094,80.8992,81.1064,81.8638,83.302,82.716,81.7563,81.0331,80.8163,81.3259,81.8584,81.714,81.2091,82.3719,87.4408,88.6198,87.7917,87.2664,88.1926,88.0363,88.5542,88.8898,89.7416,90.175,89.0832,88.6861,88.8795,90.0521,91.3374,93.5183,93.0316,94.0468,94.7387,96.855,98.6778,97.9111,96.7897,97.955,98.914,100.466,100.9552,102.1371,104.1464,103.7853,105.1187,106.7573,107.7096,110.1049,114.3276,118.0705,121.1036,126.9451,134.5134,140.4082,145.7298,152.5035,157.0762,160.2744,157.4845,158.2422,158.0172,161.7432,166.2451,168.2155,171.2775,174.6868,176.3656,179.2914,182.1361,185.7736,188.4366,189.979,192.3376,192.842,191.8931,190.2984,189.768,189.1775,186.2173,186.0804,188.0312,189.5204,189.7972,189.2434,,228.8267,199.3219,177.1382,174.793,173.3683,180.5836,,223.5869,188.9496,168.731,160.5095,154.2632,156.8397,181.5136,189.884,173.9931,161.9134,154.1765,147.5668,136.7459,128.9594,120.3845,116.0278,111.0216,106.4049,104.2103,99.4824,93.1497,89.2296,91.6061,88.9814,86.7565,86.7904,86.38,85.5564,84.8947,82.8289,81.8639,79.8548,78.2983,78.2874,79.0394,78.241,78.3166,75.9539,75.283,74.825,73.6964,72.7743,70.7025,71.6751,72.5404,72.4987,72.4606,71.6191,70.0676,69.4229,66.6299,68.0948,65.7351,67.4423,68.8997,68.7142,69.068,70.4373,71.4149,69.0665,70.9059,72.029,74.3594,74.7713,76.4204,75.2528,77.5891,81.2978,83.1251,87.1193,90.5651,92.203,92.5562,92.3802,96.1203,96.9804,96.3209,96.6439,99.1891,102.8751,104.6808,106.4953,105.3406,106.2389,108.3659,108.837,107.6554,107.5341
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",46.6023,47.1911,47.1452,47.9351,48.122,49.5532,48.7765,49.9842,50.5578,50.4964,50.6326,50.7738,50.7631,51.1562,51.6241,50.9166,50.8068,51.3383,51.4251,51.2136,51.0479,50.9923,51.4836,51.63,51.4663,52.0311,52.0268,52.4878,53.301,54.2719,56.6643,56.6032,56.9416,57.403,58.3064,58.2139,58.1348,59.1333,60.5886,61.5111,61.1811,60.7881,60.5504,60.3176,60.7304,60.0699,60.6051,61.6605,63.8042,64.1944,64.9134,64.9765,65.078,65.438,66.5468,67.0011,67.0749,67.2397,66.8804,68.0643,70.4813,70.2029,70.9099,71.1646,71.8194,72.4844,72.2019,73.0006,74.0491,72.7487,72.3718,72.4664,72.8919,74.5844,75.5943,76.9271,76.199,76.8647,74.588,74.3064,74.7571,74.8341,77.6893,77.9909,79.0082,79.581,80.0214,79.8816,78.5417,78.3036,78.5277,80.8761,79.8811,80.0418,80.5384,81.2665,82.67,83.6649,84.2911,85.6904,87.5651,88.9153,90.4484,91.7999,92.336,93.5522,96.794,98.8974,101.9945,104.6568,107.6919,114.4431,118.9664,125.1303,128.4065,131.3722,133.0527,135.8354,137.4914,140.6437,142.8466,147.4011,148.0697,146.5865,146.6253,144.7564,146.6644,148.0377,147.6756,143.2027,140.5513,136.8458,133.7953,132.4232,131.1897,131.6986,128.4236,127.9716,127.6895,124.3404,119.072,116.8156,116.2937,113.8251,108.9396,103.6387,101.7362,102.6359,95.5087,93.9927,83.3439,74.2057,64.2904,57.6709,49.1752,41.9831,44.9815,44.1617,43.3126,41.7432,41.8398,44.0434,47.7154,47.3476,46.1625,44.1956,44.317,43.642,43.6856,45.2123,45.9347,46.0587,44.9592,43.257,40.3096,40.1241,38.8821,39.3911,39.8481,37.4909,35.4209,35.7155,38.1538,36.8569,37.8035,38.0776,39.1084,38.8315,39.9486,40.5509,41.8711,42.8203,43.5789,44.3139,45.8311,46.373,47.0134,50.2768,53.8153,54.0135,53.597,53.8568,54.2482,57.0252,60.5468,61.2389,64.8611,66.3709,69.8376,70.759,71.3213,70.6674,71.4702,75.2477,73.9563,74.8121,76.3726,76.8148,75.9284,75.0613,76.975,78.3703,80.3648,77.4838,80.1973
"Upper West Side","New York","NY","New York","New York",267.2269,284.368,282.8276,281.5681,269.4598,276.0266,273.0715,285.488,295.6074,298.1623,275.6475,265.9262,277.9487,283.3657,317.1592,324.2214,325.4825,343.292,339.0876,321.2672,333.8028,340.64,362.8574,356.2644,356.0683,349.4055,360.0984,370.8395,391.2291,384.2952,395.235,390.4751,382.9151,392.5478,415.8704,424.0337,414.9587,416.738,424.6174,442.8229,448.147,480.8566,482.1624,489.3735,511.1761,480.9864,483.9669,484.5942,533.0602,558.897,566.9651,530.4999,514.412,547.3818,568.9085,575.3252,606.6898,618.199,638.1465,610.0946,604.7741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.716981132075,732.8013,739.5161,769.6656,799.8373,801.2071,830.3549,861.7877,869.2649,905.4766,968.3546,952.8096,912.127,916.5308,932.8701,937.812,955.9968,952.2344,963.5995,1031.046,1050.6234,1053.1578,1058.1696,1055.3534,1068.649,1053.1081,1055.3221,1027.0905,1040.501,1070.5584,1046.0739,1047.6292,1035.0014,1040.0936,1062.6452,1082.6667,1100.1562,1029.6321,1029.2004,1062.6893,1074.032,1103.1731,1091.5399,1089.1066,1129.8335,1159.4912,1203.1072,1237.7188,1258.2494,1281.4357,1256.0878,1276.3586,1280.6644,1275.6545,1272.8106,1252.3407,1225.9468,1211.3909,1221.7873,1267.4125,1179.5813,1053.7837,1062.5724,1111.623,1092.472,1077.1239,1058.7159,1078.313,1112.7536,1096.0604,1131.7814,1108.0196,1080.1207,1057.2523,1044.441,1027.3409,1037.4178,1037.6471,1054.5557,1041.7833,1034.6353,1039.4548,1076.1606,1056.6455,1089.7787,1105.2228,1118.7664,1071.5113,1093.9634,1107.8215,1124.7158,1111.9983,1132.2161,1192.836,1173.9876,1090.0438,1023.9032,990.0747,1016.8034,1047.4334,1066.7507,1082.9048,1083.6396,1056.7352,1139.2951,1119.8421,1152.7695,1141.9177,1143.7798,1153.7034,1192.023,1231.586,1189.6722,1222.8824,1222.1637,1237.1381,1280.0599,1294.1956,1285.137,1342.4509,1354.4642,1334.3062,1380.1876,1368.8218,1412.8421,1401.4184,1357.2185,1367.957,1388.0587,1461.6786,1405.7044,1420.4407
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",93.7793,97.3819,96.3294,94.6816,95.331,93.9971,92.1733,93.6548,94.2389,90.5081,94.2402,98.2508,90.9635,92.66,93.4212,95.5994,96.0523,93.8687,94.2284,97.0325,95.6224,97.4942,97.8182,95.8014,96.0432,94.8308,97.2974,97.7152,98.011,97.0548,100.7305,101.2901,96.1259,94.1756,97.0432,98.4834,96.2967,94.8218,98.4112,101.3869,101.2226,101.5018,101.3986,106.3778,106.7869,105.4211,103.0216,103.04,105.6617,107.0326,107.3819,108.6038,110.5939,111.3651,115.2062,113.2862,111.9236,112.4881,114.7953,115.5603,114.9428,117.0772,117.5143,122.7492,121.2187,121.9049,120.8598,124.7879,124.5668,124.5135,122.8204,122.9184,125.4647,127.1672,128.1835,132.9219,137.3123,140.252,143.8953,141.6734,146.6193,151.9325,151.5478,156.1492,154.1135,160.0447,156.7488,158.305,162.317,165.1674,168.8311,175.8119,178.971,181.8579,186.4105,193.2636,194.1951,199.8014,212.1089,223.9535,230.4506,236.9699,242.5118,241.1256,245.213,249.9281,255.0093,268.731,279.9002,291.1003,304.5979,307.5156,308.1303,315.4024,321.802,329.5816,332.5564,340.2774,351.6233,354.9406,350.8467,354.2338,365.7405,362.5489,376.6123,381.5915,372.5955,368.9668,371.5708,365.4961,362.6618,360.6064,363.6289,360.5205,358.3252,353.7325,343.2012,345.0408,344.5277,344.5554,318.2086,304.4729,296.1693,272.9826,282.5298,275.48,258.8443,243.5702,241.3001,232.2133,233.0879,227.8344,215.1794,,191.3626,181.0901,171.1625,167.5694,165.2208,171.2424,174.5944,175.3262,180.4571,182.8275,183.1436,175.3952,180.5973,185.2254,187.0015,177.0166,179.28,180.4721,184.1286,175.6848,182.5402,178.0254,177.4889,180.5878,183.1528,177.3855,172.7384,171.1613,174.134,178.1025,178.6671,173.5392,178.596,174.9579,172.972,167.0437,169.8991,179.0728,183.6288,191.7637,186.9915,181.0174,177.4823,174.764,173.4566,185.0413,187.8042,194.6208,192.8944,201.1917,208.6351,211.39,221.1477,217.625,211.2598,210.3983,213.9516,216.3648,227.7753,232.6124,237.7482,228.6369,242.1661,244.9872,239.3343,231.8736,250.9272,250.1693,254.8088,244.3639,242.093
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",105.4025,102.1831,99.784,101.0633,103.6897,104.4238,103.7624,100.9838,103.4368,103.1711,99.7677,103.9514,108.0344,106.6592,102.9518,105.9094,105.9838,110.9084,110.6113,112.4919,117.1787,116.5078,111.836,121.442,124.4298,122.1665,119.3283,121.5116,125.2377,123.6563,123.3161,121.9699,127.6146,128.2559,127.5466,128.922,131.1665,133.2988,133.772,134.6223,134.9743,133.4864,136.2066,137.6944,137.4776,136.0744,141.4812,145.0274,146.4891,146.1451,145.5895,147.9454,153.5564,154.2039,149.5483,151.8722,152.8472,158.3463,158.4228,161.883,163.8313,164.2458,168.3819,166.6096,165.2952,170.6861,173.8624,176.8198,174.4578,177.7763,174.0295,176.9147,183.5177,190.1521,193.4712,195.1162,199.8279,199.3996,199.058,199.8663,206.2507,206.4905,209.208,215.9654,221.0572,221.6201,230.7448,238.4001,243.2345,245.7865,249.9524,286.2808,285.7436,278.7652,263.4532,271.9052,285.2231,295.6972,298.1304,301.6876,306.0608,309.1416,310.3958,315.0563,319.682,320.645,329.197,328.6216,337.3205,344.2212,355.6876,365.7161,384.7965,385.48,383.241,384.3166,375.3575,379.3794,393.215,394.4208,386.8023,387.7918,396.3141,399.7296,405.2731,402.6496,392.3223,383.2595,379.9634,384.4967,385.731,384.4909,385.2344,387.0374,387.3214,389.7926,397.9799,396.9707,379.3133,367.9428,365.3303,350.1851,341.3635,341.2403,338.8929,325.1262,337.3498,346.1724,340.9328,323.6542,308.5184,301.0329,286.9399,285.4191,282.3725,270.0766,272.4718,278.7658,289.8753,296.642,286.5548,276.7864,395.619,354.5261,313.8739,269.318,268.5075,273.2267,271.3103,274.4734,280.6266,280.2922,272.7625,272.9523,267.2028,268.3858,269.2017,254.6108,246.1022,249.4331,259.6129,269.4796,274.1036,272.8288,263.8988,256.6241,252.9672,250.5219,256.6625,243.8826,244.3745,247.1877,252.7647,244.4132,253.9087,265.0741,263.8304,258.6195,262.8693,287.3499,276.8521,258.0126,280.6825,285.6479,315.5956,322.6095,334.5221,339.6998,332.5134,331.526,329.8906,326.7,330.3061,326.9501,332.2833,349.921,346.8921,340.466,354.0684,364.5807,360.1542,358.66,360.5683,366.3872,352.6276
"Upper East Side","New York","NY","New York","New York",327.3135,349.4798,361.176,337.92,329.4652,333.4659,318.3632,303.616,309.2172,321.059,319.1014,317.8286,331.9953,327.1786,326.5658,366.5732,352.8805,340.4025,356.9187,350.8396,351.8626,355.5138,328.8634,364.6044,349.473,358.1389,351.8647,386.7608,405.1794,393.3639,422.0907,429.5239,413.8156,382.4287,398.8617,399.4522,446.6825,441.7573,416.2286,421.8975,429.8026,442.4072,448.1289,459.9313,468.7485,455.1109,464.5127,484.8838,492.8713,528.5704,578.7891,581.4159,550.7131,542.8867,562.2379,580.1238,584.6762,594.9134,587.5158,589.5331,593.3301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.51572327044,669.5438,695.7075,717.7093,754.2884,778.4531,775.463,780.3618,795.9159,793.5925,826.9499,831.6862,857.844,826.578,827.9937,844.6106,901.1796,923.5372,975.3471,979.1883,992.696,990.7929,995.6667,1024.6431,1064.8444,1043.7842,1049.5249,1083.4053,1047.0399,1018.8001,1023.1557,1052.0517,1053.6267,1003.3713,974.2162,980.0253,977.0197,975.1721,1006.9435,1024.8922,1080.8093,1102.9699,1107.2817,1129.7177,1114.7026,1143.1457,1166.7386,1162.412,1221.1945,1225.8148,1219.5891,1201.2716,1214.2999,1210.4123,1203.3512,1224.809,1226.2218,1212.154,1245.9122,1344.017,1391.7049,1455.2051,1416.6536,1351.9561,1319.0913,1338.8191,1221.696,1077.0698,1114.4885,1050.4178,969.8665,995.8281,1047.9538,1058.3045,1070.2848,1059.1175,1066.1151,1106.1369,1123.9915,1074.1718,1011.817,992.3253,979.8281,978.6983,1022.5774,1077.6149,1123.5609,1133.6949,1064.4145,997.5637,1024.0763,1052.2218,984.4769,972.4692,993.5483,1054.7654,1002.4018,985.1138,1062.3349,1033.8811,998.922,969.5597,963.4488,968.2229,975.3462,973.1988,972.4644,1031.6711,1092.496,1023.245,992.9567,1023.5675,1060.201,1105.8509,1195.213,1135.8573,1097.9709,1112.4685,1166.7501,1173.8126,1289.2073,1327.2327,1255.1969,1191.3267,1164.746,1133.1274,1162.5793,1127.7733,1156.0333,1198.6359,1267.9383,1270.6468
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",69.8048,70.4609,71.1245,69.8857,70.2301,70.6242,70.8913,69.468,70.1664,70.7254,70.822,71.5351,71.7986,72.1259,71.4824,71.5156,72.0873,72.5232,69.4715,68.9882,69.9089,71.1491,72.1088,72.0844,71.42,71.8693,72.6059,73.2851,72.6239,73.8135,73.5796,74.2531,74.0157,74.6113,74.2247,73.5192,75.1151,76.1427,76.1139,75.5966,76.016,76.6616,77.3828,76.8102,76.2465,75.4056,76.831,77.9588,79.0057,79.612,80.7014,79.9219,80.3226,80.6345,79.3803,81.7351,81.6442,83.0955,83.0029,84.358,85.4956,86.0996,86.7367,86.82,87.1631,87.9185,88.3695,86.7112,87.6094,88.8687,89.4958,89.1796,98.476,96.87,93.5335,90.9776,90.8445,91.2417,91.5643,90.3715,91.4332,91.532,91.6766,92.0069,92.5998,91.8677,93.1695,94.8696,95.9711,97.0836,97.884,99.2739,101.4,101.904,102.3072,105.4655,110.5579,116.1365,122.9547,129.4348,133.2325,137.3273,139.4883,139.5326,141.2458,141.6202,142.1182,143.224,147.3406,151.3363,154.2028,157.1522,156.4709,156.6972,157.5031,159.0833,162.2918,161.9458,160.8759,161.1806,164.1216,169.2628,170.4407,170.0818,172.9271,172.1106,173.0447,172.5874,171.6045,169.5238,168.1171,167.0017,163.6995,164.3556,162.2655,165.2235,166.3956,162.3102,158.5639,153.4723,146.7705,137.9552,131.9654,131.411,129.3118,127.9088,120.7489,119.101,113.0929,110.5219,109.5207,105.0527,95.901,89.7203,84.9695,79.6557,73.4836,72.7267,74.0785,70.8313,68.615,61.9363,60.5618,60.9912,61.6796,60.1533,57.8215,57.8983,59.3844,60.1997,60.6696,59.8232,58.9363,58.2358,58.3993,57.392,55.8193,54.8303,54.8953,55.1017,54.3384,52.9284,51.9054,50.2011,51.1755,51.4689,50.8483,50.2599,49.8797,48.9855,46.1585,47.1835,47.327,47.254,51.2775,52.6286,54.8514,54.3117,55.1649,57.1751,59.1599,59.7728,59.8881,61.751,65.0289,64.6082,66.5845,69.6909,72.0227,74.4303,74.9047,74.7482,74.5958,73.3998,73.6713,78.2999,79.8188,79.9995,79.7519,81.7756,83.5811,85.263,86.3546,87.9247,86.7404
"East New York","New York","NY","New York","Kings",,,,,,,,,,,,,,,,,92.378752886836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.181818181818,,111.4073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.458781362007,,,,174.731182795699,170.6682,177.2613,159.3951,165.1252,,197.9288,204.5501,211.4465,184.2811,186.5404,203.5194,223.7872,232.3538,,246.0615,249.7059,249.8929,243.469,236.5274,,236.0448,253.3534,,251.1342,270.0378,,308.6504,296.4535,272.4557,275.3552,287.4787,313.0546,306.5941,297.4561,,321.9797,325.6363,344.2636,336.0999,321.5641,292.5279,306.5204,310.1745,,317.6832,,,283.149350649351,277.8803,276.9502,271.6033,,282.9568,281.14,279.0779,274.3046,273.5161,,,280.30303030303,,,,,,,,,,,,,,,,,,,,,282.43961352657,,,,,249.191815856778,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,298.076923076923,288.6974,293.7227,285.0203,,,,,,,,,,,,,
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",95.4589,91.2375,95.1622,95.5695,99.1671,98.1321,99.7657,90.3095,89.2131,92.1439,92.8803,94.0901,95.0434,97.4906,94.1153,90.6235,93.6276,94.6456,97.9757,98.4015,99.0468,105.6687,100.9254,106.9944,105.1961,103.3818,100.721,102.6729,103.0459,100.5111,95.8629,96.7637,104.0302,101.1012,93.7957,101.4132,102.8629,101.3758,103.9316,106.4117,108.1522,105.4266,104.1005,105.8469,111.1125,108.7538,106.4603,104.589,107.1793,108.2654,108.2006,111.5337,107.6872,109.4895,113.3031,108.1651,108.5393,106.4219,109.5274,110.1459,113.0155,117.1256,119.6062,118.3301,119.5747,120.8954,123.9309,122.028,117.7959,116.5708,119.69,122.5239,119.8573,124.1678,120.9072,124.1626,129.2175,135.6919,132.3841,135.8961,141.9347,139.8367,137.3898,135.7443,142.6806,148.2939,149.3336,154.5763,161.2341,161.5416,160.7992,161.4207,167.91,173.9334,187.2119,189.3689,189.0248,200.1012,207.7686,218.6613,228.3537,234.0988,238.2466,237.3659,241.411,245.2212,253.5267,258.3822,266.5271,280.5385,292.2193,301.8195,304.6121,315.2803,320.0587,333.6614,336.3285,343.4705,342.38,349.9196,361.7466,364.4049,357.0011,355.1447,362.0022,371.5224,382.1814,377.4321,370.6959,366.686,367.9073,370.6757,349.6995,360.0528,358.1674,346.4242,344.3523,358.4559,362.036,,341.9846,,,,,,,,,201.794843049327,,197.6181,204.2168,202.2435,,,157.968406593407,130.6754,135.4198,143.0682,153.0935,152.4654,151.2979,159.8665,165.3014,166.4699,159.8679,167.6099,157.3756,157.8094,160.4788,160.3441,163.8288,164.7333,164.9752,164.4663,164.827,161.3993,152.0575,147.9875,155.5207,161.0694,161.1234,168.7041,173.2019,157.6159,154.7966,162.31,166.9482,151.2881,147.686,155.8116,159.0378,159.4533,166.75,167.7079,174.8393,157.0376,166.6499,172.8549,176.321,181.8738,,176.2611,187.9735,201.7497,199.6085,199.5845,199.4318,210.6889,207.8287,181.4693,180.0269,206.7489,216.0676,220.0456,206.6483,211.9889,237.3852,238.9442,247.0758,242.6721,245.5756,249.5321,236.4434
