"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",,,,,,,,,48.0944380069525,,,,54.2664907651715,48.9924,44.9683,,44.25,49.1236,48.8093,,49.3042,,51.1286,51.3936,51.2258,49.1597,47.1987,48.6254,45.7411,48.9656,50.9506,50.1903,47.2599,50.8554,56.7458,55.1687,51.2258,49.8944,55.0531,55.9155,57.6326,57.266,57.0514,53.4639,52.3073,51.3436,49.9366,49.8624,47.3184,49.0784,55.5477,54.5346,51.2504,51.0809,56.0518,58.1863,57.2618,56.6,57.5667,55.141,55.0241,56.5776,61.4894,66.1195,65.0576,60.7122,55.8296,55.9848,62.6892,60.2525,57.0637,62.0256,63.75,60.949,60.6604,63.3096,63.6702,60.0856,58.0069,57.0747,57.9533,58.6857,62.2877,60.2913,61.443,69.3655,76.5495,72.4187,67.9442,73.1377,71.0084,71.494,65.6513,67.3945,,,,,81.6286,92.0931,94.6566,82.2806,85.5883,86.1717,80.7495,75.9523,77.5191,81.9344,90.2449,87.7131,88.7849,79.3379,74.4941,71.328,77.7949,84.7248,85.4063,76.9874,71.8826,69.5934,69.975,83.6658,83.1048,82.3424,85.0245,71.8985,67.1792,65.1152,76.9756,78.7743,81.6723,82.1637,89.8031,89.8729,87.2475,87.1046,98.2094,101.6898,93.5573,95.9078,102.8901,94.0355,82.8425,87.9894,105.0716,91.3223,85.4268,101.6659,93.4697,,66.7154,59.1983,72.1386,,75.0171,72.2875,72.2041,92.2835,104.5598,104.2079,91.4674,87.2526,92.0993,93.7478,84.904,91.3468,,104.7548,70.4224,77.4232,79.9666,75.6303,54.4428,49.0579,,,48.8964,49.0627,65.1375,56.9324,42.7724,45.4962,63.1629,62.6096,69.9512,71.9971,60.4291,62.4976,47.6702,35.5922,35.603,44.208,55.8912,69.639,87.6052,84.599,75.4263,63.4571,53.9211,55.3744,49.5712,74.305,85.7858,94.6415,89.5625,89.0637,85.6976,90.8509,92.6225,99.3888,102.795,111.3775,122.4245,,96.4739,99.516,108.0353,107.2654,112.4492,117.1026,112.8235,101.5218,110.4572,110.7394,112.2682
"Paradise","Las Vegas","NV","Las Vegas","Clark",70.9865,71.3042,67.6407,66.5855,65.7143,65.8807,67.7178,,11182.5857,,,,71.7875,67.9785,64.8775,65.0364,68.1132,70.1931,67.3744,65.4012,67.4335,71.2401,72.4394,70.8836,68.5692,66.8275,67.2351,69.3856,68.8719,69.8319,69.0872,69.251,65.8253,65.3075,67.7722,71.6069,73.0416,71.9897,70.4711,70.5747,71.1987,70.4689,69.9537,68.942,67.7578,70.194,71.1382,73.0321,72.6067,72.0956,70.8142,70.0553,69.5146,70.4919,71.3604,72.6415,72.9267,74.332,73.1774,,,,,79.6258,77.8545,76.6969,75.5357,76.3348,78.1594,79.5346,78.0444,80.3777,80.7773,79.2824,77.815,81.0775,83.3373,87.1899,87.7463,86.0805,82.3396,81.9284,80.3471,80.2241,78.2442,80.4137,82.6468,84.9195,84.8793,85.1959,86.5403,86.6994,87.5662,88.7282,89.9478,92.8035,97.3591,102.2756,110.1808,116.7686,123.0635,126.3998,131.7866,132.4522,131.3068,132.2548,134.5058,145.8886,155.4449,161.2621,163.5658,167.2087,170.703,175.3173,181.4817,185.1684,190.7978,194.8486,197.599,195.8972,191.6037,189.4122,192.7155,185.8412,183.2998,185.5886,192.9576,196.0505,193.8446,,245.7842,,173.717,169.9032,166.6069,,,,,,159.2625,156.6509,,,,,557.1038,,,,,,108.0596,94.0709,85.8413,91.2925,87.6462,81.2929,78.0219,89.6091,83.6015,73.268,74.6825,74.096,77.5761,71.844,68.5094,69.7764,69.0468,69.5138,70.6885,70.2126,65.2221,62.3486,60.3561,60.2411,60.5492,59.8133,61.3535,57.1409,57.2088,56.6645,57.8702,57.7912,58.0912,58.8913,58.8018,53.212,57.5081,55.4491,54.2105,54.5088,51.5487,52.0628,59.1443,59.4329,56.703,53.807,57.1071,60.3915,57.9341,62.1144,59.3448,60.8543,65.4746,68.5983,71.6966,73.586,79.5422,77.051,73.1283,76.9389,74.5175,73.4204,75.9472,75.7439,78.5229,83.4532,82.7019,78.6155,77.0067,78.8825,81.2538,82.7696,80.6778
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",36.0007,40.0546,40.2018,35.8188,34.8422,33.5471,35.6913,38.7185,38.824,38.7313,39.666,43.9513,37.4208,38.3772,40.4543,39.2432,38.6992,35.9705,39.0882,40.6092,,,,32.1428571428571,29.2353,26.3059,29.598,36.7203,34.4583,40.7917,43.7731,,36.5621,34.3192,,37.0126,40.866,42.8699,39.6528,36.6785,37.3052,36.8892,39.7535,38.7778,43.329,45.5486,48.1551,42.7159,45.8674,45.8119,49.8113,49.5351,42.4601,44.549,49.5946,51.4129,52.9495,54.8236,55.0541,55.9507,54.8675,52.0439,50.9538,53.1279,53.5636,53.5002,54.1605,55.1527,,60.4504,59.8871,61.8979,60.3819,60.1182,61.8857,60.5849,60.7302,64.2527,63.7407,63.1308,65.1592,67.8946,69.4031,68.3599,61.2548,57.0735,56.9582,61.5283,61.3599,55.4382,58.4399,64.8205,60.1275,,47.8751,51.0734,51.0653,52.1322,62.0143,60.1733,58.7079,59.462,70.1523,73.3374,70.9369,70.8139,65.8698,66.0546,63.1439,64.3994,66.324,73.2652,74.758,76.5057,77.8934,86.7473,91.2943,89.3716,82.7888,87.7078,105.0361,113.4424,112.0181,109.7805,109.5845,110.0217,107.2376,97.9459,102.5944,110.6605,114.4921,114.5462,110.6729,111.3029,112.7383,123.395,116.3128,,85.154,,,,,,,,,,,,,,,,,,,,,,,,58.2887700534759,,29.3542,,,43.3186490455213,,,,34.8360655737705,,,,,21.3675213675214,,,37.9572118702553,42.0528,35.4255,26.199,,,29.4117647058824,24.737,26.2457,,,38.8812154696133,,33.6274,,,47.9233226837061,37.8243,,41.2075,,27.7631,,,36.7534456355283,,45.9445,,41.2559,40.9247,41.0809,41.3083,,50.1012,,44.8919,,,,,,,50,,,66.6360294117647
"Upper West Side","New York","NY","New York","New York",267.2269,284.368,274.5736,280.7264,272.0978,278.6687,269.2152,282.4402,294.3012,298.1623,275.6475,265.9262,277.9487,283.3657,315.1751,322.8325,324.8872,343.292,339.0876,319.6218,332.651,340.1464,362.8574,356.2644,356.0683,349.4055,360.0984,370.8395,391.2291,383.9683,395.0061,390.7074,380.9397,391.1022,415.2084,424.0337,414.9587,422.8531,428.898,444.6575,448.147,480.8566,485.6885,491.8418,512.2339,480.9864,483.9669,484.5942,533.0602,558.897,566.9651,530.4999,514.412,547.3818,568.9085,575.3252,606.6898,618.199,638.1465,610.0946,604.7741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.716981132075,732.8013,739.5161,771.0029,800.7735,801.6083,830.3549,861.7877,869.2649,905.4766,968.3546,952.8096,912.127,916.5308,932.8701,937.812,955.9968,952.2344,963.5995,1031.046,1050.6234,1043.0407,1051.0876,1052.3183,1068.649,1062.5463,1061.9288,1029.9219,1040.501,1070.5584,1047.1182,1049.002,1035.7639,1045.5168,1066.3066,1084.2359,1102.1832,1031.3989,1030.0521,1062.7936,1074.032,1098.9225,1088.5644,1086.2908,1136.9136,1164.74,1205.5548,1236.2191,1257.1996,1280.9858,1256.0878,1284.963,1286.6874,1278.2359,1272.8106,1252.3407,1225.9468,1211.3909,1221.7873,1267.4125,1183.9271,1056.8258,1063.8761,1111.623,1092.1117,1084.7496,1058.6078,1082.2265,1126.5284,1101.9639,1131.7814,1115.2836,1088.3568,1059.5557,1045.3864,1027.3409,1037.4178,1046.4912,1060.7465,1044.4366,1034.6353,1043.17,1078.7612,1057.7601,1089.7787,1105.2228,1118.9009,1071.5113,1093.9634,1107.8215,1122.9415,1120.5966,1132.2161,1192.836,1173.9876,1090.0438,1023.9032,990.0747,1016.8034,1047.4334,1066.7507,1082.9048,1085.4618,1058.0107,1139.8418,1119.8421,1152.7695,1141.9177,1134.7493,1147.3821,1189.3139,1231.586,1189.6722,1222.8824,1222.1637,1237.1381,1288.7118,1300.9325,1288.209,1342.6551,1354.4642,1334.3062,1380.1876,1394.5232,1430.8331,1409.1288,1357.2185,1367.957,1388.0587,1461.6786,1405.7044,1420.4407
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.6738660907127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",86.9124,83.6306,78.1402,77.3684,78.8098,84.3361,81.1373,77.7319,76.1436,82.9977,81.3994,76.3923,75.6678,83.2933,86.4617,89.7194,84.3097,87.2423,86.5329,83.2864,81.9176,86.6912,92.4726,,,,,100.1059,103.2752,101.2197,108.5211,100.3562,104.3927,103.2976,98.3358,109.0366,111.1379,113.4431,109.2473,111.375,112.2221,109.8167,108.1408,114.756,109.4028,109.1003,120.3753,131.6527,132.7105,126.2824,125.8007,121.2066,132.5088,139.4782,135.592,133.779,135.1609,138.2374,138.2524,144.1067,149.5672,142.1384,139.7784,136.0241,138.5343,139.6511,136.1249,141.0318,144.4069,157.8893,151.4231,143.3744,150.6772,159.3024,164.3647,160.3606,171.287,167.017,164.2507,162.0487,177.3973,179.2278,173.8415,180.6754,196.953,195.5205,201.882,203.9261,215.2382,223.5177,226.4651,,,,,250.0243,259.1067,265.2695,263.1318,266.6186,275.0422,281.3267,282.2888,279.7734,279.8383,283.3739,296.2304,302.9056,309.1711,312.2984,312.6306,321.9197,336.9972,345.1599,347.8844,354.5525,345.889,336.0122,336.0911,337.7695,339.5487,352.059,345.997,349.2011,336.2802,333.7158,332.6814,324.599,342.8298,344.2164,337.4643,343.1703,342.8242,341.4712,337.9881,337.9825,341.7676,346.0985,344.008,349.6562,339.8082,313.2011,302.9775,303.668,290.2658,282.3535,287.842,302.8682,293.7206,283.9574,278.7464,278.7715,255.0423,264.8391,252.3373,239.7375,247.1641,256.8772,258.0485,259.8663,240.8871,222.2939,5317.7188,3770.4106,1722.2487,219.5667,242.1173,244.3889,253.5431,228.8474,233.2881,221.7478,218.5383,204.4388,217.3271,201.6588,216.3234,195.6496,183.8387,194.798,217.7486,245.6588,237.1833,233.1068,230.1301,217.7128,216.4065,206.8617,,154.791973791974,,191.6479,185.5908,187.074,203.3731,220.1424,220.1649,209.9175,204.1495,223.6057,220.6329,199.942,,244.697,,259.2289,247.1735,259.0536,269.576,279.3226,258.771,246.1049,259.028,287.482,303.7783,300.7583,290.711,289.2809,302.1595,308.2974,296.4803,294.6867,290.002,,276.0974
"Upper East Side","New York","NY","New York","New York",316.4327,328.7812,349.0283,333.2202,329.4652,333.4659,324.6135,307.9912,311.0923,321.059,319.1014,316.0466,330.7479,326.644,324.7599,353.8554,343.0856,319.3697,344.8357,345.8201,351.8626,349.5284,323.9074,362.2724,349.2432,335.7818,336.2147,377.9293,398.9478,389.4054,420.6674,429.5239,411.1898,380.5907,398.074,399.4522,446.6825,441.7573,416.2286,418.7475,427.5975,439.9595,446.3521,458.973,466.2061,447.6557,459.7358,481.1576,491.4868,523.4018,573.0611,578.2757,542.8924,537.9426,560.1189,580.1238,584.6762,592.4928,565.6702,574.7011,600.8929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.51572327044,669.5438,683.1232,708.9003,745.4638,764.4722,766.6357,776.9549,794.9248,787.7444,823.0656,821.4404,851.7653,819.4552,824.8313,843.2553,899.4168,920.4592,973.5274,979.9838,988.3012,987.4603,994.0651,1024.698,1064.8828,1043.8007,1049.5249,1083.4053,1047.0399,1027.605,1026.6894,1052.8524,1052.8378,1003.9693,980.1405,984.0587,978.6714,975.1721,1006.9435,1024.6508,1064.2712,1091.4391,1091.3267,1121.5978,1107.462,1140.4705,1157.898,1156.9911,1205.6833,1216.5832,1210.7679,1187.3083,1205.4499,1206.7146,1202.98,1224.6499,1226.2218,1207.8173,1242.8765,1342.716,1391.7049,1455.2051,1417.7301,1355.2345,1331.7599,1345.9844,1223.008,1106.592,1090.2332,1039.9274,968.4981,998.3375,1032.0226,1054.1243,1070.2848,1059.1175,1066.1151,1106.1369,1101.0027,1058.0796,1004.9204,992.3253,942.5081,952.5743,1011.3814,1077.6149,1123.5609,1133.6949,1064.4145,997.5637,1024.0763,1048.6907,982.0052,971.4099,993.5483,1054.7654,1002.4018,985.1138,1062.3349,1015.7237,998.922,969.5597,963.4488,968.2229,975.3462,973.1988,972.4644,1031.6711,1066.5989,1005.1171,985.1876,1023.5675,1060.201,1105.8509,1195.213,1135.8573,1097.9709,1112.4685,1166.7501,1173.8126,1289.2073,1327.2327,1258.5469,1193.6717,1155.3828,1132.8731,1164.3713,1129.8743,1156.0333,1174.4077,1236.1943,1211.5223
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",67.7965,67.9097,,70.7419,73.0374,73.1025,70.9552,67.8503,71.2817,,75.7774,73.3967,72.1241,71.3653,70.0378,71.2105,70.4533,70.1566,67.7908,68.4186,70.6824,72.1094,75.9356,75.0837,74.1845,73.5973,73.6445,75.0619,74.7839,77.2317,72.5352,75.3244,73.6976,70.2452,69.966,71.8598,72.4389,71.5967,70.6848,70.823,73.2101,76.0157,77.2443,76.0074,72.8061,71.9622,73.0196,72.681,74.3237,74.2423,75.0649,75.4402,78.2404,78.0052,75.9125,73.0844,72.7582,78.6644,82.8718,83.7804,83.7589,79.7683,82.8249,84.2117,83.4493,80.5241,77.5766,74.4745,74.1038,75.3059,79.9568,84.9877,,,,,89.4856,88.0006,83.6796,80.7493,85.9607,88.2206,88.33,84.4901,84.1852,80.7123,80.4349,81.0168,81.017,80.9089,80.7429,80.4402,82.368,83.9965,84.7925,88.1099,90.4421,96.9777,103.02,110.1819,117.2652,122.6936,124.7294,126.7451,127.6259,130.4993,130.521,131.7828,133.0538,137.4245,140.0044,142.3116,143.5505,146.0067,146.4734,146.3799,143.3757,141.4655,140.3901,140.4671,143.1062,145.5023,147.6706,150.0924,152.2981,153.5409,156.0407,155.4753,154.4489,150.2438,151.411,155.1188,150.4125,146.2963,145.6338,145.4172,144.1381,,142.7608,,,,,,,,,,,,,,,,,,,,71.4604904632153,,,37.2208436724566,39.459,42.4179,,40.3845,46.1184,41.7896,42.927,43.6056,56.7354,55.1309,46.1838,40.8948,37.8939,37.2377,37.8419,36.1263,35.3165,35.115,36.997,35.3794,34.9408,33.0724,33.0054,,33.7188,31.0244,31.8179,32.5894,32.9667,34.9855,34.3169,34.3623,36.132,36.8206,37.2645,40.1711,40.2171,38.3763,38.3528,41.8778,46.6301,48.762,47.7586,49.3697,50.2939,51.2862,53.5042,54.5341,57.9451,54.9223,56.2061,,56.1123,57.6724,57.7384,58.8216,56.1947,58.6229,56.1613,,55.4372,55.4742,58.508
"East New York","New York","NY","New York","Kings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.404231625835,,,,273.946945337621,278.2486,,273.6786,,,,,,,,,,,,,,,,,,,,,,,,294.622186495177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.06531881804,,,,294.752314814815,,280.9439,,,,,,,,,,,,,
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",75.2236,75.7301,75.9974,76.4068,76.8221,77.9975,78.4117,78.1879,78.2176,77.3946,76.6916,76.0688,75.7235,76.7416,78.7339,79.9313,80.7282,80.5295,79.5509,77.8158,76.7932,77.4792,78.0402,,,,,79.6519,79.6025,79.2939,77.9773,77.1631,78.8678,80.1953,81.963,82.7285,82.8206,81.6959,82.2067,83.0833,81.3428,78.9345,78.3777,79.7062,79.1286,83.0847,,,,,81.5051,81.729,82.9062,85.9,86.4347,85.5586,84.4265,87.5771,88.7492,86.7994,87.0718,87.3016,86.6002,87.3135,87.7795,91.0024,90.8728,90.9571,,,,,91.6168,91.3803,91.7372,92.1962,91.4311,91.0803,91.4989,92.3557,92.8458,98.1799,98.3537,98.7094,99.4166,102.0818,104.0677,104.1445,104.0473,106.0917,105.6349,105.2551,107.1517,110.0533,113.4901,120.4586,129.3415,138.2143,144.4273,150.1832,156.1757,160.3928,161.5774,160.548,162.2538,162.3092,163.7842,166.329,169.2529,172.4332,175.1914,177.8085,183.1769,187.893,189.4258,189.9056,191.5584,193.4999,194.0767,193.7002,194.5123,195.7948,196.809,194.6975,193.6143,194.1204,193.683,197.4022,197.0139,196.1611,192.8038,189.2643,187.0884,184.4197,178.85,176.1905,174.4408,174.8545,173.2339,170.6534,168.6433,166.8711,165.1344,167.6724,161.8458,154.723,145.0523,144.093,142.068,143.1523,134.5702,125.5166,114.4739,105.5896,94.6103,84.2337,75.4339,72.8255,76.5452,69.2042,69.6139,72.0525,70.9604,68.053,68.0782,71.5695,70.5966,71.0317,71.1631,70.1734,69.7193,67.1593,67.4746,65.4901,66.9107,65.1616,63.0169,62.1612,62.7444,61.5888,60.767,61.4297,60.015,59.4543,58.3315,57.8952,58.6247,58.7117,56.343,53.6535,55.2901,57.4019,59.4429,60.7083,64.361,64.6245,63.4739,64.6125,66.821,67.0107,69.157,72.4852,76.6089,78.6653,80.9387,83.584,85.5318,85.272,85.9544,86.1821,87.1453,88.1234,88.5144,89.6201,89.6512,89.7683,89.9759,91.776,93.8125,95.1022,94.0817,92.3431,93.2487,94.7947,94.5423
