"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",,,,,,,,,53.9549492385787,56.821,58.7126,58.5865,59.1496,59.9307,61.7206,60.5463,58.5292,58.2517,58.7441,58.7027,59.0912,60.1252,58.7859,59.6487,60.2188,60.7582,61.8504,61.9581,62.8953,63.4703,63.9054,65.1333,64.2142,64.53,67.5869,68.7961,68.4842,69.3658,69.9488,71.6292,72.0672,71.5893,70.2585,70.0161,72.3233,71.1236,70.3789,69.8449,71.5178,74.1311,74.5378,76.0934,77.0663,76.8316,76.231,77.8703,77.202,75.8921,77.9214,80.7992,83.1649,84.469,84.1885,84.313,81.8146,83.4303,83.497,84.7051,85.1567,85.6862,85.6571,84.9204,88.2691,89.2143,90.0702,90.3175,89.5905,89.4302,88.0301,90.1276,90.9284,89.2497,89.9543,91.4488,90.9937,91.8054,94.6457,94.9562,95.7857,93.6291,94.769,89.7149,86.7821,88.0866,93.2266,94.9308,99.1944,101.8603,103.2592,103.3134,100.7598,101.2602,100.5483,96.7619,97.8459,98.173,98.8789,102.713,103.7232,104.2905,106.6039,107.4361,108.039,109.3015,108.1149,107.276,107.2038,106.183,107.5939,108.7111,111.4789,113.1475,113.4194,115.2703,111.1641,104.6591,107.3607,111.0136,113.5501,112.9443,110.1748,114.077,124.5758,126.8207,126.6953,124.3173,122.7366,119.3242,121.1964,117.9119,118.9589,111.6299,111.5942,119.0115,127.2,126.3323,130.0813,134.3562,135.2609,126.8201,124.7226,120.6905,119.7608,118.7687,127.0266,124.32,121.2805,124.4117,125.6359,121.6267,119.3476,114.4534,117.9902,122.0308,114.4536,103.169,103.1853,114.2699,119.3702,119.8822,120.136,117.3929,116.3344,117.3874,108.8058,114.5613,115.6747,112.5991,111.6736,113.1292,117.0416,119.7559,118.2425,116.3223,115.4088,107.5023,103.8091,106.6449,109.329,104.8308,107.4712,116.7883,120.8377,126.6056,126.1971,129.6384,125.8014,129.0569,124.9081,124.9152,120.5519,115.7758,121.0623,126.7228,134.2758,137.3755,139.7821,140.0133,143.0214,139.5533,136.4971,138.3179,136.4551,128.4234,136.3868,143.905,149.5571,153.0222,158.4738,157.0382,150.1669,149.8013,153.1801,154.3233,142.9633
"Paradise","Las Vegas","NV","Las Vegas","Clark",73.5969,72.6957,71.9663,71.7011,72.0781,73.1271,74.4268,74.4178,74.4783,74.1245,77.1961,78.4773,78.4165,77.352,77.8152,77.9292,78.5752,77.092,76.9736,76.2809,75.6643,77.1924,77.1156,78.2649,78.2787,78.2052,78.2307,78.1804,79.2003,77.4287,77.6538,78.3033,78.0235,78.9186,79.4227,79.8951,80.2733,80.4707,80.4846,81.1568,80.9231,80.3936,80.1464,80.065,81.5789,83.082,83.1534,82.7677,83.3323,85.0329,85.0622,84.8224,83.7778,85.6714,85.7833,85.2371,85.1797,84.0268,85.3985,86.1844,88.6535,89.4089,89.8135,91.0676,92.1641,92.0372,92.7922,93.5734,94.0799,93.3044,92.2815,92.2871,93.5226,95.5181,97.1527,96.2207,97.4397,98.6829,100.6639,101.4774,102.3037,101.4772,102.1362,102.8186,104.2446,104.6004,106.1136,107.9533,109.2355,110.9861,111.8029,113.9449,117.1857,120.4709,123.3665,127.4202,136.0699,146.9809,155.1023,160.3075,165.5797,170.4954,173.1545,168.7926,169.5595,169.0825,172.6404,177.6065,179.4295,181.9677,183.0566,182.042,182.9507,185.3243,187.6588,190.2485,188.4727,187.6032,187.9289,189.2203,190.1486,190.1168,188.6193,186.5748,187.4541,188.9831,187.3616,186.2947,185.8695,185.2165,185.5193,183.479,180.6725,179.6707,177.3755,177.2901,175.8994,175.3942,169.0405,168.2829,160.2018,153.0926,151.6822,146.3731,139.4855,141.6712,139.4125,141.2633,141.5801,136.2746,129.9368,123.6172,115.6619,111.8795,107.7599,105.3321,99.9556,96.4275,93.5006,93.6855,91.0352,88.6295,89.0957,88.4734,87.1966,86.3124,84.7217,83.8346,82.3841,80.9624,80.7197,80.7474,80.3356,80.7124,80.3995,80.1876,78.6068,75.709,74.3416,75.156,76.0147,76.2042,75.1474,74.9057,73.4885,71.4949,71.2309,69.9129,70.2583,67.9477,69.7505,71.3698,73.4259,74.827,74.5389,74.4953,74.5163,77.9224,77.4063,79.1011,80.5886,81.368,82.5402,84.572,88.3888,91.2773,95.2774,96.6781,96.943,97.906,98.472,100.4844,102.3769,102.3069,101.7692,103.9272,108.1892,111.0396,112.5974,112.1651,112.8114,113.2787,113.9063,113.496,112.7062
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",46.9443,47.5276,47.7174,48.4205,48.4877,49.8727,49.2935,50.7748,51.2027,50.9725,51.0415,51.1167,50.978,51.4756,51.896,51.3782,51.3448,51.8582,51.8862,51.914,51.5299,51.2411,51.8637,52.4208,52.3094,52.759,52.5059,53.0008,54.3289,55.1581,57.2696,56.8443,57.1314,57.7513,58.7411,58.9298,58.8626,59.7841,61.0946,62.2198,61.8307,61.6844,61.2633,61.0504,61.6698,61.0861,61.6033,62.8996,64.5486,65.2549,66.2049,66.4271,66.2012,66.3019,66.9984,67.5584,67.9147,68.2984,68.6135,69.6305,71.504,70.9875,71.5822,72.4138,72.8561,73.4031,73.1571,74.307,74.8234,73.7135,73.4984,73.4142,74.3573,75.6735,76.7158,77.6521,77.2043,77.7503,75.6145,76.3757,76.7799,76.2617,78.67,79.4601,80.3457,80.7193,81.2503,81.2532,79.7496,79.7847,80.4977,82.7815,81.771,81.3615,82.3751,83.2269,84.4171,85.1542,85.325,86.9252,88.6264,89.8613,91.2739,92.6701,93.6776,94.7061,97.9296,100.0017,103.8792,107.1052,110.8164,117.1375,121.8722,128.1737,132.0849,134.8122,136.2493,139.7123,140.777,144.2889,145.2996,150.4789,151.311,151.6922,152.2339,148.9699,150.4233,153.1824,152.903,147.6408,146.5621,140.6227,137.5542,134.621,132.906,132.1721,131.4184,130.6896,132.519,127.501,120.0136,118.8075,117.6648,114.472,110.1794,104.6151,103.1304,103.121,95.6456,93.9297,83.6503,74.9394,64.7458,57.8266,51.4679,43.588,45.9649,44.3687,43.4013,41.7533,41.7534,44.2999,47.9327,47.2917,46.0637,44.2357,44.7439,43.9243,44.5147,45.98,46.5573,46.7038,45.752,44.6721,41.3947,40.8941,39.6874,39.9876,38.9908,36.7136,34.9018,36.0037,39.0788,37.8548,38.5305,38.9902,39.6551,40.0694,41.3915,41.9051,42.8057,43.2368,43.633,44.995,47.1282,46.6166,47.4517,51.74,55.0474,54.8899,54.4587,54.6741,55.2304,57.9732,60.7792,61.9766,65.7492,68.2891,72.2888,72.6984,73.2595,72.4107,73.516,76.5349,76.04,76.7412,77.6466,77.3414,77.1034,76.8516,79.2637,80.1846,81.5224,79.1242,81.8785
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",93.7793,97.3819,96.3294,94.6816,95.331,93.9971,92.1733,93.6548,94.2389,90.5081,94.2402,98.2508,90.9635,92.66,93.4212,95.5994,96.0523,93.8687,94.2284,97.0325,95.6224,97.4942,97.8182,95.8014,96.0432,94.8308,97.2974,97.7152,98.011,97.0548,100.7305,101.2901,101.7209,98.5064,99.4879,98.941,96.4395,96.2523,99.4125,101.816,101.2226,101.5018,101.3986,106.3778,106.7869,105.4211,103.0216,103.04,105.6617,107.0326,107.3819,108.6038,110.5939,111.3651,115.2062,113.2862,111.9236,112.4881,114.7953,115.5603,114.9428,117.0772,117.5143,122.7492,121.2187,121.9049,120.8598,124.7879,124.5668,124.5135,122.8204,122.9184,125.4647,127.1672,128.1835,133.5687,137.765,140.446,143.8953,141.6734,147.4121,152.4875,151.7857,156.1492,154.1135,160.0447,156.7488,158.305,162.317,165.1674,168.8311,175.8119,178.971,181.8579,186.4105,193.2636,194.1951,199.8014,212.1089,223.9535,230.4506,236.9699,242.5118,241.1256,245.213,249.9281,255.0093,268.731,279.9002,291.1003,304.5979,307.5156,308.1303,315.4024,321.802,329.5816,332.5564,340.2774,351.6233,354.9406,350.8467,355.7573,366.8069,363.006,376.6123,381.5915,372.5955,368.9668,371.5708,365.4961,362.6618,360.6064,363.6289,361.2054,358.8046,353.938,343.2012,345.0408,344.5277,344.6007,318.2403,304.4865,296.1693,272.9826,282.5298,275.48,258.8443,243.5702,241.3001,232.2133,231.7563,,209.766,,191.1406,181.0901,171.1625,167.5694,165.2208,171.2424,174.5944,175.3262,180.4571,182.8275,183.1436,175.3952,180.5973,185.2254,187.0015,177.0166,179.28,180.4721,184.1286,175.6848,182.5402,178.0254,177.4889,180.5878,183.1528,177.3855,172.7384,171.1613,174.134,178.1025,179.0836,173.8308,178.7209,174.9579,172.972,167.0437,169.8991,179.0728,183.6288,191.7637,186.9915,181.0174,177.4823,174.764,173.4566,185.0413,187.8042,194.6208,192.8944,201.1917,208.6351,211.39,221.1477,217.625,211.2598,210.3983,213.9516,216.3648,227.7753,232.6124,237.7482,228.6369,242.1661,244.9872,239.3343,231.8736,250.9272,250.1693,254.8088,244.3639,242.093
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",114.932,114.7576,109.5857,108.7145,110.4107,111.4628,109.9597,110.0464,111.8586,110.5582,112.1601,116.4174,121.8115,116.8319,116.024,119.9842,119.2897,121.8854,119.2601,118.7469,125.1241,126.6051,120.0194,119.479,126.6038,132.713,133.2154,135.5979,135.8153,133.4745,131.218,131.2701,140.0475,140.1072,137.3772,134.116,141.4821,147.9627,145.9225,141.8228,140.8362,140.3845,147.3569,150.399,150.0528,149.4106,155.5546,153.4443,154.8021,156.7037,155.0767,157.0397,162.6181,163.2189,158.1083,164.2584,165.2709,177.8708,172.7639,173.8162,175.2623,175.3806,178.8512,181.8821,177.9549,182.667,187.2072,196.7459,193.3285,193.2563,189.4937,193.6772,198.9321,207.6973,209.1026,211.828,215.3391,211.9176,212.6014,218.8159,224.2296,224.4717,233.4857,235.4607,232.3846,233.9606,242.6473,251.834,259.6106,259.4888,263.5503,272.2174,282.682,282.0502,273.1118,284.2796,301.924,318.1286,323.283,322.3885,328.7801,328.0299,330.1188,334.9783,341.8577,342.0759,350.7842,349.6158,355.8799,363.7084,382.0846,401.2007,416.4784,408.4071,404.3296,410.7643,407.8837,415.4245,421.5244,434.6181,432.1825,432.6413,432.7359,433.0255,428.6846,424.4127,415.0744,411.7231,406.9248,411.6817,422.1703,425.7928,430.9027,431.471,432.5065,428.9334,434.9525,424.1955,400.6385,379.9606,374.4452,373.5772,367.359,366.2023,360.9959,343.0225,368.823,376.9811,380.314,355.8508,329.3773,319.0311,301.3511,292.3476,290.538,283.6433,291.6206,299.8603,311.6265,323.851,322.8329,302.179,290.2768,282.5444,293.9269,281.576,290.3027,286.9639,277.2212,279.5621,299.498,304.5752,303.5331,296.8933,281.7223,292.977,296.8594,275.8746,259.6142,262.0055,279.2029,284.7511,298.8013,291.6335,283.5837,268.4331,276.5045,270.6776,271.4104,269.5292,262.4367,274.1192,278.8373,269.8115,284.5402,299.4856,290.0264,284.9321,281.3332,311.0037,298.6936,292.4611,302.3358,295.5241,323.6543,337.3082,367.6878,397.0302,377.151,371.1129,363.5547,363.6457,363.0246,349.4614,357.7974,376.7033,382.5827,390.6758,400.6392,392.1527,393.7841,423.1342,412.7624,398.9588,391.7572
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",69.8906,70.5145,71.1944,69.8523,69.9487,69.9563,70.4849,69.3697,69.7505,70.2665,70.4625,71.5643,71.9412,72.6201,72.0181,71.634,72.1914,72.6986,69.7881,69.1554,69.9639,71.0362,71.9032,71.5198,70.8911,71.0388,72.1183,72.9024,71.8802,73.0139,73.4566,73.4617,73.845,74.9812,74.736,73.7118,75.2085,76.1966,76.2101,75.795,76.1916,76.7316,77.8388,77.4061,77.468,76.9121,77.8201,78.6514,79.7593,80.7484,81.7059,80.9159,80.9041,81.7827,80.1532,83.3683,83.4962,84.0413,83.0605,84.3893,85.9337,86.7473,87.0583,87.4441,88.3295,89.1705,90.1289,88.0129,89.1382,89.8348,91.286,90.5113,91.2922,91.9084,92.0337,91.5097,91.0246,91.9052,92.6282,91.5308,92.0567,92.5336,92.574,94.0414,94.8673,94.04,95.0969,97.0101,98.4436,99.6564,100.6484,101.3586,103.146,103.9785,105.1823,109.2483,114.6486,119.1662,126.5434,133.7944,138.0451,141.5174,144.1147,144.7125,146.846,147.7037,147.3905,148.2244,152.6162,156.8449,160.0115,164.432,165.9217,167.1568,169.2705,171.4731,173.8501,171.8605,170.2766,170.0659,173.036,176.6526,179.5953,178.4651,179.8241,178.2167,178.8287,177.8243,178.1171,176.469,175.265,172.6261,169.5002,169.2655,167.7198,169.8741,169.9508,166.6753,163.9095,156.7114,149.5691,139.4764,135.0409,134.0181,133.0081,132.647,124.4354,120.647,115.5925,112.1106,109.8341,104.8009,95.0338,93.3446,87.6495,82.9049,75.5391,74.5339,75.4809,71.3214,68.7298,64.177,63.372,63.0554,61.9547,60.6255,58.6808,59.5857,60.6412,61.6636,61.2864,60.7442,61.174,61.3309,60.85,59.3555,59.1896,57.3032,57.2339,57.0971,56.3195,55.8967,54.2084,53.0746,53.197,53.0754,53.2549,52.6099,51.9868,51.4155,51.1366,52.2777,51.2598,50.696,54.5078,55.4256,56.9841,57.1665,59.8918,61.3285,62.1416,63.3082,62.7343,66.2001,69.017,68.2032,70.3711,73.9709,75.9107,80.2285,79.8133,77.9956,77.1541,77.3026,79.0732,83.5169,84.1181,84.6685,84.9853,87.4343,89.9864,89.4884,89.992,91.9391,93.9333
"East New York","New York","NY","New York","Kings",,,,,,,,,,,,,,,,,92.378752886836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.181818181818,,111.4073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.690476190476,176.0057,158.7751,165.1252,,206.3689,207.3298,212.0581,183.8378,186.5404,203.5194,223.7872,232.3538,,246.0615,249.7059,249.8929,244.0476,236.9324,,236.0448,253.3534,,228.3387,263.9641,,311.0547,296.4535,279.2425,290.9113,297.0785,316.2962,306.5941,297.4561,,321.9797,,,320.919175911252,292.4999,,,307.904411764706,,319.1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",95.4589,91.2375,95.1622,95.5695,99.1671,98.1321,99.7657,90.3095,89.2131,92.1439,92.8803,94.0901,95.6116,97.8884,94.2858,90.6235,93.6276,94.6456,97.9757,98.4015,99.0468,105.6687,100.9254,106.9944,105.1961,103.3818,100.721,102.6729,103.0459,100.5111,95.8629,96.7637,104.0302,101.1012,93.7957,101.4132,102.8629,101.3758,103.9316,106.4117,108.1522,105.4266,105.7135,106.976,111.5964,108.7538,106.4603,104.589,107.1793,108.2654,108.2006,111.5337,107.6872,109.4895,113.3031,108.1651,108.5393,106.4219,109.5274,110.1459,113.0155,117.1256,119.6062,118.3301,119.5747,120.8954,123.9309,122.028,117.7959,116.5708,119.69,122.5239,119.8573,124.1678,120.9072,124.1626,129.2175,135.6919,132.3841,135.8961,141.9347,139.8367,137.3898,135.7443,142.6806,148.2939,149.3336,154.5763,161.2341,161.5416,160.7992,161.4207,167.91,173.9334,187.8629,189.8246,189.2201,200.1012,207.7686,218.6613,228.3537,234.0988,238.2466,237.3659,241.411,245.2212,253.5267,258.3822,266.5271,280.5385,292.2193,301.8195,304.6121,315.2803,320.0587,333.6614,336.3285,344.6118,343.1789,350.262,361.7466,364.4049,357.0011,355.1447,362.0022,371.5224,382.1814,377.4321,370.6959,373.0123,379.3523,377.4852,366.3854,377.6302,371.6766,351.4182,350.9842,362.2634,363.6678,,342.0356,,,,,,,,,201.794843049327,,197.6181,204.2168,202.2435,,,157.968406593407,130.6754,135.4198,143.0682,153.0935,152.4654,151.2979,159.8665,165.3014,166.4699,159.8679,167.6099,157.3756,157.8094,165.9778,164.1935,164.8213,164.7333,164.9752,164.4663,164.827,161.3993,152.0575,147.9875,155.5207,161.0694,161.1234,168.7041,173.2019,157.6159,154.7966,164.1619,167.8277,151.2881,147.686,155.8116,159.0378,159.4533,166.75,167.7079,174.8393,157.0376,166.6499,172.8549,176.321,181.8738,,176.2611,187.9735,201.7497,199.6085,199.5845,199.4318,210.6889,207.8287,181.4693,180.0269,206.7489,216.0676,222.9405,208.6747,215.7972,239.4431,239.8262,247.0758,242.6721,245.5756,249.5321,236.4434
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",75.7657,75.3002,76.5471,76.2716,76.7774,76.4417,75.8558,76.2579,77.6925,78.5667,78.5314,78.5531,78.3114,78.224,78.134,78.8453,78.5806,78.9466,80.1404,80.9557,80.1445,80.1652,78.7372,79.3641,80.061,80.8176,81.2596,81.2251,79.7642,80.9385,81.0921,80.3244,79.6284,79.3806,80.2482,81.2678,80.705,81.1253,81.3355,83.6319,83.9015,84.1285,84.2976,84.4497,83.5986,82.1736,82.152,83.862,85.5893,85.3936,84.6546,85.1771,87.1794,86.7899,86.5201,87.0182,88.5034,88.8467,87.6594,87.2477,87.5213,88.815,90.7139,90.8477,90.8862,91.3635,93.7265,92.8521,94.1875,95.652,96.6242,97.2329,97.1677,97.2827,98.3305,99.2687,100.1319,100.6853,101.3028,102.0492,103.246,102.8712,102.736,102.5204,103.9457,106.1573,107.0019,108.069,110.2068,111.846,113.7504,116.6499,120.3503,122.3301,126.3556,131.1804,138.3974,147.0074,153.5771,162.5781,170.8792,173.17,175.4028,177.6756,178.2265,175.7312,175.8202,180.196,183.3062,186.3284,188.7929,191.4781,192.7552,193.4541,194.1781,193.1931,193.8789,191.4653,191.3892,192.6791,193.4504,196.1361,196.8406,195.379,194.3625,191.537,189.7983,191.157,188.5273,186.8104,185.6823,187.8526,184.0614,183.309,182.5242,179.5094,178.936,177.3007,171.0149,167.2705,162.2884,159.2055,152.238,145.916,138.9251,140.8164,143.1858,140.355,133.2684,127.5591,123.5902,117.6056,112.1984,111.4106,109.4697,102.3848,99.5442,96.283,94.4072,92.6979,93.3077,92.2097,90.544,88.8296,88.373,87.0377,85.6017,85.8748,86.9953,86.9592,86.3193,84.8244,84.1955,84.74,84.0235,84.314,84.4101,81.6771,81.2964,80.7019,81.6369,82.5586,80.6921,79.5588,78.3532,78.7135,78.0802,77.9096,76.6143,76.416,75.8322,76.5515,76.6523,78.2969,81.4447,82.6194,83.055,84.6136,84.0522,86.4764,87.1652,89.0643,91.6478,95.4037,99.0928,103.1484,105.5641,105.7516,108.8241,111.3478,113.7211,111.6123,110.3968,110.3183,110.8833,111.2326,112.5512,114.5984,116.608,116.4243,116.9076,115.7344,117.8204,118.4917,117.7919
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",63.8047,64.1686,64.3008,64.028,64.9101,66.0915,65.5534,65.5798,66.5252,66.8108,66.8224,67.2376,67.1426,67.1482,66.9406,67.0433,67.6639,68.8249,68.9121,68.8652,68.2547,68.6104,68.6359,68.5463,69.3792,70.9684,71.6911,71.8778,71.936,71.9846,71.885,71.9271,72.2184,73.1857,73.0613,73.6534,74.2539,74.2376,74.6553,75.2954,75.851,77.0683,77.794,78.0918,77.6321,78.3266,78.8165,79.7046,79.4674,79.3254,79.5272,80.5615,80.8496,81.9028,82.4288,82.6735,82.3921,84.2318,84.1477,84.8065,85.2915,85.7069,85.2744,85.867,85.8225,86.6929,88.3358,88.8994,89.5989,88.7221,88.7631,89.0455,89.2864,90.6319,90.6492,91.2965,91.2506,92.474,93.6642,94.3267,94.6273,93.783,93.4997,93.4064,94.5719,95.4316,97.006,97.9968,98.5735,99.1129,100.1595,100.3325,99.3382,99.7446,101.3128,101.3261,103.1637,104.4932,105.205,105.5709,107.3722,109.606,111.4974,113.7269,115.2921,116.935,120.9976,126.1877,131.3536,139.2665,147.0409,152.2995,158.3459,163.4901,167.4234,170.8969,172.3919,170.8897,172.47,174.4771,175.1582,174.6622,175.4489,174.5429,172.5924,171.2122,170.2148,169.4869,167.1935,163.4963,162.9139,165.0625,165.3299,165.0162,163.9565,161.5008,158.6514,160.0681,158.6681,155.279,148.2919,146.2083,146.4741,145.6747,139.6148,136.2489,135.5335,131.0983,129.3235,127.0834,125.37,123.033,116.9123,108.9527,104.892,102.9489,102.7783,99.6465,96.0115,93.5388,93.9093,93.6294,93.3839,92.4653,92.2488,92.2873,91.9473,90.2507,89.8401,90.095,88.7125,87.0097,85.4351,84.7353,84.7342,85.3582,83.8094,81.3096,78.0817,78.7224,77.8086,75.9989,80.7109,80.6939,78.4291,77.6952,78.4618,80.3513,78.7848,80.944,79.9347,80.9319,86.5116,88.228,89.9507,91.2203,93.6796,95.1806,97.0845,96.646,97.8573,98.1084,99.7618,102.8137,106.4071,109.6994,111.4376,113.9545,114.2485,115.4989,115.7208,115.885,116.1235,115.7685,116.0742,117.7569,118.5074,117.3532,117.7026,118.7013,120.3824,121.2342,120.8481,123.0128,122.8617
