"RegionName","City","State","Metro","CountyName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",97.7818,97.2998,97.2589,97.2023,97.172,97.3931,97.0668,96.6915,96.2327,95.6502,95.6613,96.1531,96.3362,96.9557,95.7849,95.467,95.599,95.5116,94.0941,94.5907,95.5004,94.6094,94.264,94.6431,93.0127,91.843,91.9548,91.8224,92.6802,92.9333,92.2029,92.252,93.8488,94.7271,94.4847,93.5693,92.274,90.9568,90.3994,92.1214,92.0827,92.8731,92.2134,91.8769,91.0188,92.3214,91.6404,89.9595,90.4055,88.5806,88.7999,88.6945,89.8199,91.2354,90.8935,89.8262,90.104,90.057,89.3423,89.5582,89.6631,88.7987,88.9209,88.6399,88.8891,89.8506,89.3936,91.4383,91.9936,91.081,89.9836,90.8697,93.4243,95.8756,96.1955,95.4973,95.2423,93.8369,93.4426,92.3124,93.1231,93.5653,92.9567,92.3323,90.9233,92.7331,93.4493,93.9348,95.4598,96.16,95.5324,93.7644,93.2642,93.3757,91.5899,91.5384,91.4025,92.9703,93.0323,90.787,91.9276,92.3225,92.0353,92.5527,93.1007,92.5323,92.9969,91.8464,93.2986,92.7933,91.0506,90.6449,91.0461,91.7698,91.5724,90.3975,89.7202,89.0242,90.7781,90.866,88.1587,87.4018,86.5038,85.5165,87.0686,87.3069,87.5117,87.1752,86.1394,84.8685,81.3308,82.0573,82.8427,83.0212,79.2384,78.1668,81.2852,81.7542,81.0489,77.6736,76.5395,79.0444,81.365,80.8168,78.9691,80.0743,78.6317,78.9734,80.1481,84.5161,82.7007,81.3931,75.1595,76.099,77.0255,75.6723,70.7658,68.3437,74.3817,78.9218,78.5153,76.6666,74.3698,75.6183,74.3019,71.1478,68.6823,71.8908,72.1223,70.3808,71.5829,69.2181,70.0646,68.5195,72.3616,72.9185,75.9138,75.2769,77.5596,79.6533,81.2721,81.9452,80.0191,79.4987,81.2004,84.0221,83.8016,81.6833,80.8833,83.2991,85.114,83.721,81.6959,83.1744,86.4257,88.0393,88.0745,87.1226,87.6821,88.776,89.7952,88.7898,83.4741,83.1407
"Paradise","Las Vegas","NV","Las Vegas","Clark",97.1828,98.1021,98.1723,98.1684,97.5138,96.9743,97.1011,97.2321,97.0941,95.9665,94.716,94.1243,94.6035,96.3083,96.9796,96.7273,96.9625,97.0361,97.9066,96.958,96.787,95.8494,95.1081,95.4223,96.2458,96.4695,96.0429,95.3949,96.4484,96.145,95.9617,95.63,93.8215,93.6145,94.0165,94.2027,93.9249,94.0324,94.6233,94.4884,93.8413,94.182,94.8832,93.7308,91.8944,91.9591,90.5551,88.7903,89.9052,91.8911,93.1958,93.2842,93.0243,92.3472,91.7745,91.0597,91.2247,90.2944,88.9889,88.5394,86.5114,86.5288,86.5481,85.7507,86.0191,85.9093,85.1382,84.5838,85.9744,87.4118,86.8978,86.9243,87.1754,88.0895,87.9773,87.617,87.5586,87.9868,86.7648,85.3531,84.4179,83.7064,82.0316,79.9772,79.3618,80.4253,81.5657,82.6591,80.5971,80.1255,79.7107,80.4157,81.353,80.5336,81.4146,80.4744,79.5866,79.5803,78.001,76.6208,76.6146,75.4965,74.3277,72.9264,70.1686,67.851,67.3865,66.293,70.1237,68.7925,65.0956,61.9774,58.8326,61.1318,64.8891,70.8284,68.2696,61.117,56.0497,52.3021,47.6859,49.2354,57.5431,60.2489,58.1962,58.9019,59.3184,54.8836,54.4732,54.4238,52.7704,52.6298,49.3761,43.89,46.5958,42.6979,44.0371,46.5836,49.1838,50.5308,47.4594,46.2933,48.9934,49.0268,44.9433,42.4936,45.5084,45.9643,46.1893,48.9115,48.1188,46.4037,45.3214,44.767,44.8606,42.9828,41.3207,40.683,42.5218,46.4215,46.2899,45.2143,45.1451,43.8597,28.4839,28.9678,28.2462,24.8959,24.9606,26.9119,25.7462,25.466,26.4284,27.6105,28.4324,31.3382,32.7259,31.2449,39.921,39.7058,36.6897,34.7665,36.2057,39.0869,41.8711,41.7984,43.3513,42.0923,46.8986,47.1583,49.3522,43.8818,46.0585,45.2944,52.609,63.3645,71.6752,75.0306,76.2348,74.8374,74.8528,77.382,75.5029,71.0789
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",98.125,96.9253,97.6781,97.9575,98.4912,98.2971,98.2249,98.3775,98.6148,98.3246,97.9392,98.3415,98.2106,98.4496,98.2983,97.8929,98.1706,98.4474,98.6994,98.7061,98.6729,98.8095,98.0744,97.2043,97.2236,96.9316,97.4206,98.1474,98.4438,97.9121,97.013,97.5019,96.946,97.5672,97.6073,98.2218,97.9923,96.1495,96.3558,97.2386,98.0289,97.6021,97.7594,98.001,97.7297,97.1267,97.1721,96.9534,96.5675,96.8433,97.3846,98.3845,98.0559,98.487,98.0681,97.7248,96.8904,96.6351,96.9786,97.036,97.2844,97.3183,95.8475,94.0048,93.9817,95.4907,97.135,97.1388,97.5839,96.9997,96.2973,97.0087,96.5746,97.2011,97.0658,97.1677,96.3391,96.3641,96.6962,97.2884,97.0528,97.5892,97.5601,98.0785,98.3728,98.3385,98.2072,97.5013,97.8919,98.4316,98.4353,98.2653,98.5544,98.5925,97.5496,97.7036,97.6045,98.13,98.678,98.8585,98.88,98.0481,98.2659,98.0605,98.329,98.6995,98.3678,97.8434,98.2241,98.3181,98.6114,97.9823,98.0822,98.5274,98.2797,96.2043,93.8364,92.721,87.5196,88.7135,87.4575,90.0247,87.6218,84.7814,82.8918,83.7573,85.8067,82.5516,84.8967,85.9036,81.1257,77.1042,79.3557,79.1554,76.2941,76.9028,79.4783,78.6692,77.034,75.3783,73.177,70.8291,69.9193,65.9755,68.1991,63.8602,62.8511,61.0945,65.4797,69.9463,67.0118,64.3807,62.982,63.5001,61.956,60.8099,55.1285,54.4672,54.1351,54.5172,56.021,53.4722,48.2375,50.867,42.5591,41.624,43.5927,44.5813,46.4588,48.2138,46.9917,52.4629,57.2434,61.2086,61.2162,59.2648,55.9361,66.4287,66.7424,65.9943,69.5056,70.7987,71.6206,71.3223,72.8255,73.6827,75.4898,78.0235,77.1407,75.3618,72.3565,72.4498,72.826,75.7709,75.2554,77.7245,80.6311,80.8853,79.7687,79.4609,80.4413,80.3897,80.1664,81.351
"Upper West Side","New York","NY","New York","New York",100,100,100,100,98.75,98.6577,98.5887,99.0387,98.9981,99.5093,98.9981,99.4167,99.75,100,99.0196,99.3137,99.7059,99.0566,97.7003,97.2361,98.5748,99.6,98.8889,96.5195,97.7748,99.1892,99.2308,95.6879,96.1662,97.1079,98.9507,93.4239,95.625,97.1046,96.3445,96.2065,95.1765,94.3876,95.5412,98.0903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9231,95.1316,96.461,98.0802,99.4766,99.8958,98.9511,98.9473,99.4624,99.2634,98.1814,97.5988,97.432,97.1486,98.09,98.3775,99.2757,99.0242,97.6892,97.6717,97.2517,97.4804,98.7207,98.4396,99.1463,97.387,97.0901,98.39,98.8297,97.9151,98.6867,96.524,96.5027,96.6316,94.5385,96.7522,97.6505,98.1537,98.3825,98.4221,97.8413,97.5517,98.3429,98.429,97.8545,97.5944,98.7732,99.6512,100,100,99.7006,99.5702,99.756,99.6482,99.55,99.059,97.6841,96.6856,98.1581,98.5284,96.9827,94.1133,95.094,94.3675,96.0938,90.1563,73.2328,79.7719,89.3856,93.8171,95.2678,95.3741,94.1832,92.5908,92.7272,91.0999,86.3721,87.0424,89.1981,90.4925,88.3232,88.1348,89.0774,90.7622,88.2324,88.8649,88.5057,86.511,86.016,89.5558,93.3815,89.7957,87.042,88.7559,87.5329,89.1225,88.9303,85.8762,86.3158,86.8806,83.952,83.1416,83.2668,86.2074,85.7597,87.3985,87.1284,88.062,88.7798,81.0694,81.578,86.3237,89.7652,89.3989,87.0808,88.7228,91.0262,93.9391,95.5272,95.8895,94.5183,93.772,94.2307,95.2489,95.6942,95.8168,95.7937,94.7948,96.2938,96.4733,94.8081,94.181
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",98.5357,99.3137,98.1674,96.9623,96.3477,96.139,97.2609,98.15,95.8859,95.9262,97.0292,98.9159,98.0031,97.8497,97.5066,97.4446,98.6593,97.0305,96.1218,97.1627,98.3309,98.0692,96.7509,96.6053,98.3071,98.7924,98.9141,97.5088,96.669,97.5794,97.7691,98.4533,99.2789,98.7447,99.2222,98.4902,99.1765,98.0598,97.9629,98.1294,98.5332,97.9761,98.8667,98.0375,97.6563,97.581,98.1261,97.7466,96.8422,97.5096,97.2743,97.977,98.6417,98.2383,97.747,97.3089,97.2867,98.1077,97.3328,96.6837,98.1499,99.4512,100,98.4211,98.8947,97.7191,98.272,98.0811,98.1897,98.5952,97.8363,97.9378,98.3923,99.3632,99.3985,97.5217,97.8761,98.0275,97.5654,98.1797,98.766,99.0634,98.9868,98.6556,99.2619,99.1707,99.2506,99.1229,99.1856,98.8146,98.9279,98.3504,99.0866,99.2617,98.8725,98.6201,94.6495,92.9448,90.481,88.4167,90.3814,94.8993,97.2149,98.0241,98.108,97.9811,97.2583,98.0257,98.0238,99.0578,98.9089,99.4776,99.7761,97.3684,97.1162,95.5402,97.6287,96.5535,98.2051,99.2308,95,91.3276,90.5315,81.1191,86.1957,87.5127,88.9646,83.6094,76.9776,80.2568,77.1384,78.2323,77.2949,79.5481,82.8331,76.1875,73.6136,70.685,79.0677,87.9793,86.4293,77.1714,78.9755,80.8098,79.3454,77.648,74.4419,72.8448,73.5386,74.0064,73.8886,73.9006,76.3477,80.3405,76.5015,76.0048,82.2685,84.974,84.4262,77.0899,71.6582,75.8973,79.1569,82.1711,78.509,79.7187,70.6321,76.8194,80.5006,84.7214,80.2352,77.6575,78.135,83.3096,84.4549,82.8421,84.5989,86.9157,89.089,85.3408,79.9167,79.8644,82.597,86.4452,88.6013,90.1863,90.506,90.9498,90.5182,92.4559,91.7435,89.2336,86.3193,89.5606,89.5886,90.9327,89.5539,90.5225,93.9102,93.6657,91.779,91.4237,90.57,93.3887
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",98.1381,99.1951,99.8846,99.4253,99.3346,98.9117,98.9234,99.1629,99.3709,99.4057,99.3746,99.1002,99.4962,99.441,98.3483,97.6731,98.2018,99.2679,99.0128,98.243,98.9284,99.6479,99.1379,97.9921,98.3959,98.5314,98.6215,99.0068,98.9375,99.0579,98.4402,98.9167,99.2901,99.284,99.3355,99.0962,99.5173,98.2256,98.6385,99.0864,99.5008,99.7516,98.977,98.8046,99.0675,98.7508,98.6869,98.7857,98.4477,98.5679,99.0702,98.8814,99.0294,98.225,98.5179,98.8652,98.8015,98.4424,98.3654,98.2345,98.0363,98.9696,99.4504,99.1244,98.7642,98.6341,98.9417,98.7326,99.1302,99.4188,99.7982,98.8614,97.0479,96.6323,97.808,98.5376,98.7397,97.7718,98.4935,98.9413,99.2023,99.3471,99.2237,98.6451,98.1223,98.351,98.3142,98.7381,99.1931,98.4007,99.0133,99.4043,99.6652,99.5637,98.8915,99.3102,97.9747,96.2676,93.7312,90.9303,91.648,94.0316,96.6393,95.9571,96.8098,95.2611,94.3391,93.5027,93.0718,93.3862,95.0655,93.7523,95.7438,95.3166,95.3215,93.7775,92.6812,94.3794,96.5583,95.6345,93.8236,90.7513,89.1845,88.6791,89.2993,86.1862,85.3955,86.1222,82.474,77.4433,79.2925,78.1512,80.9795,75.2841,71.5272,73.2471,77.0887,79.2418,77.9537,77.1159,82.0254,87.1546,79.5305,71.7382,71.3484,72.5039,71.3452,68.6972,72.2583,72.6877,70.3403,67.5365,69.9197,67.0492,69.0437,71.4419,63.9892,62.1848,59.4217,68.4732,68.5232,69.7426,71.3051,65.991,69.6165,69.2235,70.6779,68.5746,64.0508,56.5227,57.4553,66.037,67.8878,67.2928,72.5362,69.8115,67.4374,66.2364,70.9642,70.5963,71.1863,73.5393,78.0802,77.5489,77.9312,83.3384,84.859,84.1293,83.7343,84.8385,85.0113,82.0403,84.6609,84.6972,85.1087,87.1901,87.3911,87.7468,88.7551,90.0343,90.9484,90.975,91.1046,91.8764
"Upper East Side","New York","NY","New York","New York",98.9706,99.5588,100,100,100,99.537,99.2449,99.5594,99.8707,99.2188,99.4531,98.7656,99.3,99.7,99.0196,99.3137,99.7059,100,98.6302,99.0411,99.589,99.2424,98.7654,98.4861,99.2332,99.7619,100,96.8085,96.679,95.9561,96.8832,95.6312,95.2702,97.4762,98.3053,97.8431,95.9738,97.6669,97.8003,94.8611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.9305,98.4112,98.3463,98.468,97.676,97.9754,97.5335,97.5183,98.053,97.2623,97.4306,98.2813,97.3558,98.075,98.2436,97.9651,98.336,98.3165,98.7745,98.1905,98.3946,99.1975,99.8148,99.3055,98.7202,97.313,98.4157,98.9469,99.6667,99.0441,97.7643,98.5894,99.5,98.8637,99.2046,96.5341,96.2973,94.7232,97.2504,97.9525,98.6671,98.6321,97.5759,98.5477,98.8913,98.2509,98.8836,98.9773,98.3914,98.9913,97.699,98.034,98.9939,97.4663,98.3529,98.4321,98.8284,99.3436,98.2166,97.0191,92.3865,93.7986,94.8485,97.1912,94.255,93.1354,91.8628,90.5598,90.5152,91.6151,90.7576,84.39,85.8596,90.328,90.5588,91.9697,90.7377,89.5983,89.3134,91.4582,88.4081,86.5719,84.57,86.8052,88.4718,87.3967,87.5162,86.1845,87.0755,81.7049,84.7925,76.6964,75.9583,78.2424,78.0674,76.5686,77.676,82.0431,84.112,84.914,85.3664,85.2067,85.9221,86.2399,86.2707,85.1078,85.8161,87.5617,86.2001,84.2047,83.532,87.6907,88.7238,89.2349,88.4718,89.1478,89.5321,92.5098,93.3735,93.0763,93.3216,92.3002,90.8559,92.0439,91.1982,93.4325,94.2387,94.9269,93.7449,94.4542,94.3415
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",98.2852,98.2157,97.6171,97.8172,97.8015,97.8647,97.4264,95.475,94.7842,93.9902,93.3558,93.7399,94.7743,94.3824,95.5127,96.952,97.7312,97.2181,97.1277,97.205,97.677,97.7205,96.3215,95.1375,94.565,95.6915,95.9401,95.9513,96.296,97.0714,97.1242,96.5357,96.9846,96.1133,96.3135,95.3835,96.3508,95.6467,95.226,94.5756,93.7643,94.2035,93.921,94.504,94.6429,94.2692,92.0078,90.7583,90.5936,91.5683,92.2562,94.7949,95.0146,94.176,92.8867,90.5278,87.677,85.2794,84.7974,85.8287,86.5329,86.1309,84.1551,84.3828,84.095,84.1611,84.7456,83.9757,84.027,85.7196,86.6929,88.4677,89.1013,90.351,88.2075,87.4563,87.9605,88.5608,88.005,86.1541,85.3257,84.161,83.492,82.8786,83.5566,83.7447,83.2139,81.8373,81.2265,80.9582,80.7095,79.8382,78.2961,75.8204,73.6022,72.0506,70.9796,70.8256,73.4922,73.2289,72.847,71.474,70.6248,66.7633,67.1163,66.1586,64.8794,61.303,59.0449,60.5804,64.5443,64.1528,62.0404,63.8149,61.9872,59.1611,56.8664,53.2829,50.9883,49.071,45.0956,46.2709,50.6679,49.652,49.2734,48.7871,55.2235,56.7682,58.5598,55.7078,56.0347,53.338,55.211,54.608,50.0704,47.9148,46.6184,46.9951,46.3293,51.5159,53.6695,54.6441,55.0202,54.0674,49.3111,47.0726,44.163,46.3289,48.6573,49.5889,57.0878,50.8572,50.8103,46.83,44.5924,48.9327,52.5202,46.5674,42.9397,40.7026,40.0401,41.727,43.7071,50.4897,26.3054,25.6497,23.3897,25.3268,27.9027,25.72,24.6779,29.5874,29.6765,29.6447,31.0845,26.49,31.3859,34.5967,38.7161,37.309,35.5618,36.7344,36.9234,40.7618,41.8875,42.3061,44.389,45.2899,47.094,49.5746,49.8255,47.6701,47.3442,47.8927,55.5062,60.2919,74.0209,72.8635,69.1285,68.2529,71.212,73.69,76.3809,74.8543
"East New York","New York","NY","New York","Kings",100,100,100,,,95,97.9412,,100,,,100,100,100,100,100,100,,,,100,100,100,100,100,,100,,98.779,99.3464,,100,,,100,,98.1238,98.9957,92.4913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,98.366,99.0278,93.8141,94.1758,97.0192,97.4643,97.0848,98.3394,99.5455,100,96,91.2,94.6,98.2,100,100,97.6191,98.3333,96.9048,98.3333,97.6728,98.871,91.6214,94.4737,97.6316,100,97.9167,98.5417,99.375,95.2381,96.6667,96.2987,98.4091,93.4358,95.8824,95.9625,98.4091,96.1932,95.4316,95.1231,88.8712,88.5962,91.7902,,98.9011,,,100,96.0784,97.6667,94,96.5,98.5,97.9167,94.9702,91.6118,90.2444,,,96.6667,98.6275,95.3334,90.8333,94.375,95.4934,93.396,95.8772,95,,,85,89.6218,90.7045,88.6039,86.9697,90.5589,91.1579,91.1651,91.9848,96.303,95.4285,91.9444,95.0397,94.1667,93.635,93.0028,,98.4615,,78.022,88.2353,,,100,94.6524,93.2372,91.1539,93.0288,92.5416,93.0972,91.2924,91.265,84.1026,82.4359,,,,85.7143,94.1177,,,93.4783,94.6408,92.1677,86.9383,91.2925,91.305,88.5301,89.041,86.0376,85.9069,89.3529,,77.094,,67.9487,72.4337,75.2263,76.629,80.6109,84.4193
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",97.9889,96.5906,96.8041,97.5871,97.6686,96.6717,97.1446,98.6887,99.7059,97.8571,96.6482,96.2751,95.4918,97.5724,97.4035,96.9956,96.4818,97.3982,97.5106,98.7869,98.7557,97.5648,93.5517,92.6232,94.0289,96.4937,98.6617,98.1375,95.2831,94.6141,94.6148,94.0537,96.113,97.5986,98.2757,99.1118,97.6488,97.4053,96.8251,95.0977,96.2631,97.6613,98.4483,97.8072,97.0707,97.6707,96.3599,93.7063,95.3185,97.039,95.5448,97.2737,95.6868,96.8853,96.3593,96.6291,97.2468,96.4076,96.2938,96.3431,97.4694,98.9182,98.9768,98.5272,98.311,99.1577,98.3882,96.9578,97.2047,98.1095,97.5044,96.6898,97.3184,98.1079,97.7991,98.7761,99.5714,100,98.9691,99.2783,99.0657,99.5625,98.6889,98.1931,98.9486,98.1554,96.5134,97.3023,96.9123,97.8996,98.4719,99.4506,99.8352,98.9691,97.7932,98.0956,94.2875,92.1934,88.1076,86.6275,89.9461,95.1618,98.627,99.7973,99.3055,98.7786,98.6441,99.3364,99.0639,98.436,97.9831,95.5337,97.2945,97.0165,96.1274,94.8046,93.25,92.4967,96.1077,94.3007,,91.9849,92.3077,,85.4043,71.7469,74.0584,,77.3035,,67.202,64.5329,66.9053,,,72.2222,72.725,71.7043,69.6674,81.447,79.1412,75.0319,75.0857,73.6981,69.1244,73.3952,66.7823,66.5331,66.4071,70.5548,65.4213,66.8471,71.3422,71.3328,73.2947,71.2124,71.8055,68.5796,65.1278,66.7188,63.3622,69.3763,79.7285,80.4482,83.3966,73.2095,76.0231,79.7395,74.7989,75.3825,74.7485,79.5,83.8415,90.5606,86.4091,85.1753,76.7222,81.3518,85.0912,79.7526,83.1522,76.1894,79.4722,84.6321,89.2875,91.9125,93.4665,89.7255,91.7987,95.1624,91.0725,85.4496,85.218,86.8721,87.4723,84.6037,88.7133,94.1089,91.0637,90.7305,91.1728,94.1962,94.1617,91.2183
