"RegionName","City","State","Metro","CountyName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",2.2182,2.7002,2.7411,2.7977,2.828,2.6069,2.9332,3.3085,3.7673,4.3498,4.3387,3.8469,3.6638,3.0443,4.2151,4.533,4.401,4.4884,5.9059,5.4093,4.4996,5.3906,5.736,5.3569,6.9873,8.157,8.0452,8.1776,7.3198,7.0667,7.7971,7.748,6.1512,5.2729,5.5153,6.4307,7.726,9.0432,9.6006,7.8786,7.9173,7.1269,7.7866,8.1231,8.9812,7.6786,8.3596,10.0405,9.5945,11.4194,11.2001,11.3055,10.1801,8.7646,9.1065,10.1738,9.896,9.943,10.6577,10.4418,10.3369,11.2013,11.0791,11.3601,11.1109,10.1494,10.6064,8.5617,8.0064,8.919,10.0164,9.1303,6.5757,4.1244,3.8045,4.5027,4.7577,6.1631,6.5574,7.6876,6.8769,6.4347,7.0433,7.6677,9.0767,7.2669,6.5507,6.0652,4.5402,3.84,4.4676,6.2356,6.7358,6.6243,8.4101,8.4616,8.5975,7.0297,6.9677,9.213,8.0724,7.6775,7.9647,7.4473,6.8993,7.4677,7.0031,8.1536,6.7014,7.2067,8.9494,9.3551,8.9539,8.2302,8.4276,9.6025,10.2798,10.9758,9.2219,9.134,11.8413,12.5982,13.4962,14.4835,12.9314,12.6931,12.4883,12.8248,13.8606,15.1315,18.6692,17.9427,17.1573,16.9788,20.7616,21.8332,18.7148,18.2458,18.9511,22.3264,23.4605,20.9556,18.635,19.1832,21.0309,19.9257,21.3683,21.0266,19.8519,15.4839,17.2993,18.6069,24.8405,23.901,22.9745,24.3277,29.2342,31.6563,25.6183,21.0782,21.4847,23.3334,25.6302,24.3817,25.6981,28.8522,31.3177,28.1092,27.8777,29.6192,28.4171,30.7819,29.9354,31.4805,27.6384,27.0815,24.0862,24.7231,22.4404,20.3467,18.7279,18.0548,19.9809,20.5013,18.7996,15.9779,16.1984,18.3167,19.1167,16.7009,14.886,16.279,18.3041,16.8256,13.5743,11.9607,11.9255,12.8774,12.3179,11.224,10.2048,11.2102,16.5259,16.8593
"Paradise","Las Vegas","NV","Las Vegas","Clark",2.8172,1.8979,1.8277,1.8316,2.4862,3.0257,2.8989,2.7679,2.9059,4.0335,5.284,5.8757,5.3965,3.6917,3.0204,3.2727,3.0375,2.9639,2.0934,3.042,3.213,4.1506,4.8919,4.5777,3.7542,3.5305,3.9571,4.6051,3.5516,3.855,4.03830000000001,4.37,6.1785,6.3855,5.9835,5.7973,6.0751,5.9676,5.3767,5.5116,6.1587,5.818,5.1168,6.2692,8.1056,8.0409,9.4449,11.2097,10.0948,8.1089,6.8042,6.7158,6.9757,7.6528,8.2255,8.9403,8.7753,9.7056,11.0111,11.4606,13.4886,13.4712,13.4519,14.2493,13.9809,14.0907,14.8618,15.4162,14.0256,12.5882,13.1022,13.0757,12.8246,11.9105,12.0227,12.383,12.4414,12.0132,13.2352,14.6469,15.5821,16.2936,17.9684,20.0228,20.6382,19.5747,18.4343,17.3409,19.4029,19.8745,20.2893,19.5843,18.647,19.4664,18.5854,19.5256,20.4134,20.4197,21.999,23.3792,23.3854,24.5035,25.6723,27.0736,29.8314,32.149,32.6135,33.707,29.8763,31.2075,34.9044,38.0226,41.1674,38.8682,35.1109,29.1716,31.7304,38.883,43.9503,47.6979,52.3141,50.7646,42.4569,39.7511,41.8038,41.0981,40.6816,45.1164,45.5268,45.5762,47.2296,47.3702,50.6239,56.11,53.4042,57.3021,55.9629,53.4164,50.8162,49.4692,52.5406,53.7067,51.0066,50.9732,55.0567,57.5064,54.4916,54.0357,53.8107,51.0885,51.8812,53.5963,54.6786,55.233,55.1394,57.0172,58.6793,59.317,57.4782,53.5785,53.7101,54.7857,54.8549,56.1403,71.5161,71.0322,71.7538,75.1041,75.0394,73.0881,74.2538,74.534,73.5716,72.3895,71.5676,68.6618,67.2741,68.7551,60.079,60.2942,63.3103,65.2335,63.7943,60.9131,58.1289,58.2016,56.6487,57.9077,53.1014,52.8417,50.6478,56.1182,53.9415,54.7056,47.391,36.6355,28.3248,24.9694,23.7652,25.1626,25.1472,22.618,24.4971,28.9211
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",1.875,3.0747,2.3219,2.0425,1.5088,1.7029,1.7751,1.6225,1.3852,1.6754,2.0608,1.6585,1.7894,1.5504,1.7017,2.1071,1.8294,1.5526,1.3006,1.2939,1.3271,1.1905,1.9256,2.7957,2.7764,3.0684,2.5794,1.8526,1.5562,2.0879,2.987,2.4981,3.054,2.4328,2.3927,1.7782,2.0077,3.8505,3.6442,2.7614,1.9711,2.3979,2.2406,1.999,2.2703,2.8733,2.8279,3.0466,3.4325,3.1567,2.6154,1.6155,1.9441,1.513,1.9319,2.2752,3.1096,3.3649,3.0214,2.964,2.7156,2.6817,4.1525,5.9952,6.0183,4.5093,2.865,2.8612,2.4161,3.0003,3.7027,2.9913,3.4254,2.7989,2.9342,2.8323,3.6609,3.6359,3.3038,2.7116,2.9472,2.4108,2.4399,1.9215,1.6272,1.6615,1.7928,2.4987,2.1081,1.5684,1.5647,1.7347,1.4456,1.4075,2.4504,2.2964,2.3955,1.87,1.322,1.1415,1.12,1.9519,1.7341,1.9395,1.671,1.3005,1.6322,2.1566,1.7759,1.6819,1.3886,2.0177,1.9178,1.4726,1.7203,3.7957,6.1636,7.279,12.4804,11.2865,12.5425,9.9753,12.3782,15.2186,17.1082,16.2427,14.1933,17.4484,15.1033,14.0964,18.8743,22.8958,20.6443,20.8446,23.7059,23.0972,20.5217,21.3308,22.966,24.6217,26.823,29.1709,30.0807,34.0245,31.8009,36.1398,37.1489,38.9055,34.5203,30.0537,32.9882,35.6193,37.018,36.4999,38.044,39.1901,44.8715,45.5328,45.8649,45.4828,43.979,46.5278,51.7625,49.133,57.4409,58.376,56.4073,55.4187,53.5412,51.7862,53.0083,47.5371,42.7566,38.7914,38.7838,40.7352,44.0639,33.5713,33.2576,34.0057,30.4944,29.2013,28.3794,28.6777,27.1745,26.3173,24.5102,21.9765,22.8593,24.6382,27.6435,27.5502,27.174,24.2291,24.7446,22.2755,19.3689,19.1147,20.2313,20.5391,19.5587,19.6103,19.8336,18.649
"Upper West Side","New York","NY","New York","New York",,,,,1.25,1.3423,1.4113,0.9613,1.00190000000001,0.4907,1.0019,,,,0.9804,,,0.9434,2.2997,2.7639,1.4252,,1.1111,3.4805,2.2252,,0.769199999999998,4.3121,3.8338,2.8921,1.0493,6.5761,4.375,2.8954,3.6555,3.7935,4.8235,5.6124,4.4588,1.9097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0769,4.8684,3.539,1.9198,0.5234,,1.0489,1.0527,0.5376,0.7366,1.8186,2.4012,2.568,2.8514,1.91,1.6225,0.7243,0.9758,2.3108,2.3283,2.7483,2.5196,1.2793,1.5604,0.8537,2.613,2.9099,1.61,1.1703,2.0849,1.3133,3.476,3.4973,3.3684,5.4615,3.2478,2.3495,1.8463,1.6175,1.5779,2.1587,2.4483,1.6571,1.571,2.1455,2.4056,1.2268,,,,0.2994,0.4298,0.244,0.3518,0.45,0.941,2.3159,3.3144,1.8419,1.4716,3.0173,5.8867,4.906,5.6325,3.9062,9.8437,26.7672,20.2281,10.6144,6.1829,4.7322,4.6259,5.8168,7.4092,7.2728,8.9001,13.6279,12.9576,10.8019,9.5075,11.6768,11.8652,10.9226,9.2378,11.7676,11.1351,11.4943,13.489,13.984,10.4442,6.6185,10.2043,12.958,11.2441,12.4671,10.8775,11.0697,14.1238,13.6842,13.1194,16.048,16.8584,16.7332,13.7926,14.2403,12.6015,12.8716,11.938,11.2202,18.9306,18.422,13.6763,10.2348,10.6011,12.9192,11.2772,8.9738,6.0609,4.4728,4.1105,5.4817,6.228,5.7693,4.7511,4.3058,4.1832,4.2063,5.2052,3.7062,3.5267,5.1919,5.819
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",1.4643,,1.8326,3.0377,3.6523,3.861,2.7391,1.85,4.1141,4.0738,2.9708,1.0841,1.9969,2.1503,2.4934,2.5554,1.3407,2.9695,3.8782,2.8373,1.6691,1.9308,3.2491,3.3947,1.6929,1.2076,1.0859,2.4912,3.331,2.4206,2.2309,1.5467,0.7211,1.2553,0.7778,1.5098,0.8235,1.9402,2.0371,1.8706,1.4668,2.0239,1.1333,1.9625,2.3437,2.419,1.8739,2.2534,3.1578,2.4904,2.7257,2.023,1.3583,1.7617,2.253,2.6911,2.7133,1.8923,2.6672,3.3163,1.8501,,,1.5789,1.1053,2.2809,1.728,1.9189,1.8103,1.4048,2.1637,2.0622,1.60769999999999,0.6368,0.6015,2.4783,2.1239,1.9725,2.4346,1.8203,1.234,0.9366,1.0132,1.3444,0.7381,0.8293,0.7494,0.8771,0.8144,1.1854,1.0721,1.6496,0.9134,0.7383,1.1275,1.3799,5.3505,7.0552,9.519,11.5833,9.6186,5.1007,2.7851,1.9759,1.892,2.0189,2.7417,1.9743,1.9762,0.9422,1.0911,,,2.6316,2.8838,4.4598,2.3713,3.4465,1.7949,,5,8.6724,9.4685,18.8809,13.8043,12.4873,11.0354,16.3906,23.0224,19.7432,22.8616,21.7677,22.7051,20.4519,17.1669,23.8125,26.3864,29.315,20.9323,12.0207,13.5707,22.8286,21.0245,19.1902,20.6546,22.352,25.5581,27.1552,26.4614,25.9936,26.1114,26.0994,23.6523,19.6595,23.4985,23.9952,17.7315,15.026,15.5738,22.9101,28.3418,24.1027,20.8431,17.8289,21.491,20.2813,29.3679,23.1806,19.4994,15.2786,19.7648,22.3425,21.865,16.6904,15.5451,17.1579,15.4011,13.0843,10.911,14.6592,20.0833,20.1356,17.403,13.5548,11.3987,9.8137,9.494,9.0502,9.4818,7.5441,8.2565,10.7664,13.6807,10.4394,10.4114,9.0673,10.4461,9.4775,6.0898,6.3343,8.221,8.5763,9.43,6.6113
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",1.8619,0.8049,,0.5747,0.6654,1.0883,1.0766,0.8371,0.6291,0.5943,0.6254,0.8998,0.5038,0.559,1.6517,2.3269,1.7982,0.7321,0.9872,1.757,1.0716,0.3521,0.8621,2.0079,1.6041,1.4686,1.3785,0.9932,1.0625,0.9421,1.5598,1.0833,0.7099,0.716,0.6645,0.9038,0.4827,1.7744,1.3615,0.9136,0.4992,0.248400000000004,1.023,1.1954,0.9325,1.2492,1.3131,1.2143,1.5523,1.4321,0.9298,1.1186,0.9706,1.775,1.4821,1.1348,1.1985,1.5576,1.6346,1.7655,1.9637,1.0304,0.5496,0.8756,1.2358,1.3659,1.0583,1.2674,0.8698,0.5812,0.2018,1.1386,2.9521,3.3677,2.192,1.4624,1.2603,2.2282,1.5065,1.0587,0.7977,0.6529,0.7763,1.3549,1.8777,1.649,1.6858,1.2619,0.8069,1.5993,0.9867,0.5957,0.3348,0.4363,1.1085,0.6898,2.0253,3.7324,6.2688,9.0697,8.352,5.9684,3.3607,4.0429,3.1902,4.7389,5.6609,6.4973,6.9282,6.6138,4.9345,6.2477,4.2562,4.6834,4.6785,6.2225,7.3188,5.6206,3.4417,4.3655,6.1764,9.2487,10.8155,11.3209,10.7007,13.8138,14.6045,13.8778,17.526,22.5567,20.7075,21.8488,19.0205,24.7159,28.4728,26.7529,22.9113,20.7582,22.0463,22.8841,17.9746,12.8454,20.4695,28.2618,28.6516,27.4961,28.6548,31.3028,27.7417,27.3123,29.6597,32.4635,30.0803,32.9508,30.9563,28.5581,36.0108,37.8152,40.5783,31.5268,31.4768,30.2574,28.6949,34.009,30.3835,30.7765,29.3221,31.4254,35.9492,43.4773,42.5447,33.963,32.1122,32.7072,27.4638,30.1885,32.5626,33.7636,29.0358,29.4037,28.8137,26.4607,21.9198,22.4511,22.0688,16.6616,15.141,15.8707,16.2657,15.1615,14.9887,17.9597,15.3391,15.3028,14.8913,12.8099,12.6089,12.2532,11.2449,9.9657,9.0516,9.025,8.8954,8.1236
"Upper East Side","New York","NY","New York","New York",,,,,,0.463,0.7551,0.4406,,0.781199999999998,,1.2344,,,0.9804,,,,1.3698,0.9589,,0.7576,1.2346,1.5139,0.7668,,,3.1915,3.321,4.0439,3.1168,4.3688,4.7298,2.5238,1.6947,2.1569,4.0262,2.3331,2.1997,5.1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0695,1.5888,1.6537,1.532,2.324,2.0246,2.4665,2.4817,1.947,2.7377,2.5694,1.7187,2.6442,1.925,1.7564,2.0349,1.664,1.6835,1.2255,1.8095,1.6054,0.8025,,0.6945,1.2798,2.687,1.5843,1.0531,,0.9559,2.2357,1.4106,,1.1363,0.7954,3.4659,3.7027,5.2768,2.7496,2.0475,1.3329,1.3679,2.4241,1.4523,1.1087,1.7491,1.1164,1.0227,1.6086,1.0087,2.301,1.966,1.0061,2.5337,1.6471,1.5679,1.1716,0.6564,1.7834,2.9809,7.6135,6.2014,5.1515,2.8088,5.745,6.8646,8.1372,9.4402,9.4848,8.3849,9.2424,15.61,14.1404,9.672,9.4412,8.0303,9.2623,10.4017,10.6866,8.5418,11.5919,13.4281,15.43,13.1948,11.5282,12.6033,12.4838,13.8155,12.9245,18.2951,15.2075,23.3036,24.0417,21.7576,21.9326,23.4314,22.324,17.9569,15.888,15.086,14.6336,14.7933,14.0779,13.7601,13.7293,14.8922,14.1839,12.4383,13.7999,15.7953,16.468,12.3093,11.2762,10.7651,11.5282,10.8522,10.4679,7.4902,6.62649999999999,6.9237,6.6784,7.6998,9.1441,7.9561,8.8018,6.5675,5.7613,5.0731,6.2551,5.5458,5.6585
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",1.7148,1.7843,2.3829,2.1828,2.1985,2.1353,2.5736,4.525,5.2158,6.0098,6.6442,6.2601,5.2257,5.6176,4.4873,3.048,2.2688,2.7819,2.8723,2.795,2.323,2.2795,3.6785,4.8625,5.435,4.3085,4.0599,4.0487,3.704,2.9286,2.8758,3.4643,3.0154,3.8867,3.6865,4.6165,3.6492,4.3533,4.774,5.4244,6.2357,5.7965,6.079,5.496,5.3571,5.7308,7.9922,9.2417,9.4064,8.4317,7.7438,5.2051,4.9854,5.824,7.1133,9.4722,12.323,14.7206,15.2026,14.1713,13.4671,13.8691,15.8449,15.6172,15.905,15.8389,15.2544,16.0243,15.973,14.2804,13.3071,11.5323,10.8987,9.649,11.7925,12.5437,12.0395,11.4392,11.995,13.8459,14.6743,15.839,16.508,17.1214,16.4434,16.2553,16.7861,18.1627,18.7735,19.0418,19.2905,20.1618,21.7039,24.1796,26.3978,27.9494,29.0204,29.1744,26.5078,26.7711,27.153,28.526,29.3752,33.2367,32.8837,33.8414,35.1206,38.697,40.9551,39.4196,35.4557,35.8472,37.9596,36.1851,38.0128,40.8389,43.1336,46.7171,49.0117,50.929,54.9044,53.7291,49.3321,50.348,50.7266,51.2129,44.7765,43.2318,41.4402,44.2922,43.9653,46.662,44.789,45.392,49.9296,52.0852,53.3816,53.0049,53.6707,48.4841,46.3305,45.3559,44.9798,45.9326,50.6889,52.9274,55.837,53.6711,51.3427,50.4111,42.9122,49.1428,49.1897,53.17,55.4076,51.0673,47.4798,53.4326,57.0603,59.2974,59.9599,58.273,56.2929,49.5103,73.6946,74.3503,76.6103,74.6732,72.0973,74.28,75.3221,70.4126,70.3235,70.3553,68.9155,73.51,68.6141,65.4033,61.2839,62.691,64.4382,63.2656,63.0766,59.2382,58.1125,57.6939,55.611,54.7101,52.906,50.4254,50.1745,52.3299,52.6558,52.1073,44.4938,39.7081,25.9791,27.1365,30.8715,31.7471,28.788,26.31,23.6191,25.1457
"East New York","New York","NY","New York","Kings",,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1.221,,,,,,,,1.8762,,7.5087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.634,,6.1859,5.8242,2.9808,2.5357,2.9152,1.6606,,,4,8.8,5.4,,,,2.3809,,3.0952,,2.3272,,8.3786,5.5263,,,2.0833,,,4.7619,3.3333,3.7013,,6.5642,4.1176,4.0375,,3.8068,4.5684,4.8769,11.1288,11.4038,8.2098,,,,,,3.9216,,6,3.5,,2.0833,5.0298,8.3882,9.7556,,,3.3333,,4.6666,9.1667,5.625,4.5066,6.604,4.1228,5,,,15,10.3782,9.2955,11.3961,13.0303,9.4411,8.8421,8.8349,8.0152,3.697,4.5715,8.0556,4.9603,5.8333,6.365,6.9972,,,,21.978,11.7647,,,,5.3476,6.7628,8.8461,6.9712,7.4584,6.9028,8.7076,8.735,15.8974,17.5641,,,,14.2857,5.8823,,,6.5217,5.3592,7.8323,13.0617,8.7075,8.695,11.4699,10.959,13.9624,14.0931,10.6471,,22.906,,32.0513,27.5663,24.7737,23.371,19.3891,15.5807
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",2.0111,3.4094,3.1959,2.4129,2.3314,3.3283,2.8554,1.3113,,2.1429,3.3518,3.7249,4.5082,2.4276,2.5965,3.0044,3.5182,2.6018,2.4894,1.2131,1.2443,2.4352,6.4483,7.3768,5.9711,3.5063,1.3383,1.8625,4.7169,5.3859,5.3852,5.9463,3.887,2.4014,1.7243,0.8882,2.3512,2.5947,3.17489999999999,4.9023,3.7369,2.3387,1.5517,2.1928,2.9293,2.3293,3.6401,6.2937,4.6815,2.961,4.4552,2.7263,4.3132,3.1147,3.6407,3.3709,2.7532,3.5924,3.7062,3.6569,2.5306,1.0818,1.0232,1.4728,1.689,0.8423,1.6118,3.0422,2.7953,1.8905,2.4956,3.3102,2.6816,1.8921,2.2009,1.2239,,,1.0309,0.7217,0.9343,,1.3111,1.8069,1.0514,1.8446,3.4866,2.6977,3.0877,2.1004,1.5281,0.549400000000006,,1.0309,2.2068,1.9044,5.7125,7.8066,11.8924,13.3725,10.0539,4.8382,1.373,,0.6945,1.2214,1.3559,0.6636,0.9361,1.564,2.0169,4.4663,2.7055,2.9835,3.8726,5.1954,6.75,7.5033,3.8923,5.6993,,8.0151,7.6923,,14.5957,28.2531,25.9416,,22.6965,,32.798,35.4671,33.0947,,,27.7778,27.275,28.2957,30.3326,18.553,20.8588,24.9681,24.9143,26.3019,30.8756,26.6048,33.2177,33.4669,33.5929,29.4452,34.5787,33.1529,28.6578,28.6672,26.7053,28.7876,28.1945,31.4204,34.8722,33.2812,36.6378,30.6237,20.2715,19.5518,16.6034,26.7905,23.9769,20.2605,25.2011,24.6175,25.2515,20.5,16.1585,9.4394,13.5909,14.8247,23.2778,18.6482,14.9088,20.2474,16.8478,23.8106,20.5278,15.3679,10.7125,8.0875,6.5335,10.2745,8.2013,4.8376,8.9275,14.5504,14.782,13.1279,12.5277,15.3963,11.2867,5.8911,8.9363,9.2695,8.8272,5.8038,5.8383,8.7817
