"RegionName","City","State","Metro","CountyName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",13.7691,16.9196,21.5303,23.1599,24.8795,24.1319,19.0706,20.4523,20.7578,18.5089,17.7431,15.894,14.3162,15.9582,18.1128,20.3551,22.4314,21.4491,19.5427,18.8942,18.5687,16.7392,15.0803,15.5347,13.2605,12.7707,14.6117,14.5789,14.365,14.4591,14.8874,15.9443,15.844,15.8482,13.1972,14.8109,14.5245,12.7952,14.025,14.4105,14.536,14.299,16.1751,16.756,18.4861,17.4663,15.7109,15.1625,14.4382,13.1673,14.1125,15.4366,15.8234,17.327,16.8237,18.1569,18.6588,17.2828,15.3516
"Paradise","Las Vegas","NV","Las Vegas","Clark",6.6076,6.9959,6.6008,6.7966,7.6181,9.6298,11.1503,12.9833,14.8357,13.312,12.9422,12.4247,12.1884,10.9341,10.755,9.9008,9.6432,10.0857,9.4082,9.1136,8.8659,8.2961,9.0909,8.818,8.1191,7.3075,6.4914,5.8777,5.2805,5.0381,5.3027,5.6866,6.5587,6.175,6.2118,6.7934,6.6085,7.2191,6.2869,5.9418,6.2885,7.0597,8.745,10.8856,12.5459,13.6805,13.0223,12.9183,13.2273,13.4132,14.1546,13.5765,12.7714,14.0141,15.0035,14.4293,15.6217,14.6555,12.8593
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",4.9299,5.6133,6.0659,6.9844,8.7027,9.9826,9.4137,10.3241,9.9664,8.6281,8.6854,7.486,7.5359,5.9113,5.4448,4.2211,3.2745,3.0047,2.6088,2.3744,2.4179,2.6712,2.7772,2.6457,2.4037,1.9915,1.8044,1.6552,1.9246,2.5784,3.2926,3.4597,4.1391,4.6956,5.1601,6.2008,9.4569,5.5749,5.9768,6.7619,8.5086,8.1767,11.9318,12.8361,18.942,20.8507,19.1851,19.9671,17.738,16.2206,15.0079,13.2694,12.2792,13.6703,15.2444,16.9576,16.6404,15.0943,13.3992
"Upper West Side","New York","NY","New York","New York",11.9211,11.3402,12.5313,13.5096,15.7464,15.302,11.9586,11.4508,14.7883,15.076,15.1025,12.2869,15.1233,11.0524,13.3908,13.252,15.9003,12.7165,9.9817,9.6627,10.9403,11.333,11.7765,10.5447,9.8706,9.5064,10.475,11.5142,12.7215,11.336,7.9228,7.4639,7.2447,8.0383,7.5132,5.2279,4.3478,4.5992,7.1519,7.971,8.2833,7.9395,7.4324,7.8073,8.3767,7.3247,7.7054,7.2837,6.2076,5.2765,6.2674,7.9397,8.2616,8.3625,6.4923,5.8528,7.0009,7.6492,8.2569
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",5.2317,5.655,5.4506,6.0845,6.9644,7.3136,7.2165,8.5292,8.5676,7.8329,9.5103,9.375,8.5714,7.8295,7.8403,6.3721,5.7862,6.2584,7.2049,7.7968,8.3929,8.1786,7.915,6.8487,7.2084,6.927,7.3947,7.5481,6.6256,5.7434,5.7222,6.031,5.7023,5.7235,5.6255,6.0944,9.7384,9.5238,10.0154,11.4701,13.0573,12.0861,12.1575,12.7768,14.3608,13.9535,14.5873,12.9825,12.5683,11.5059,12.7695,12.766,13.6943,13.4812,12.5217,11.4783,12.3939,10.4478,9.7072
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",8.2517,9.9559,9.116,10.4244,12.4171,14.4485,14.9254,15.6584,17.2662,16.2409,14.6494,13.2658,11.6717,10.4706,10.9822,11.4684,11.6386,11.9409,10.239,11.8884,13.0219,13.1216,12.4286,10.9326,9.9868,8.9612,8.6796,8.2854,6.9927,5.5386,5.289,5.9122,6.213,7.1563,6.6344,5.9922,7.5027,7.2511,7.4872,8.4139,8.3784,9.6774,11.8887,13.089,14.5471,13.9623,14.1372,14.2405,13.7821,14.3564,14.3636,16.1485,18.0033,19.12,20.8134,21.2216,19.2943,17.2949,14.1509
"Upper East Side","New York","NY","New York","New York",9.4639,12.6138,14.3574,14.3924,16.8545,16.9209,14.3368,13.5408,15.9167,16.249,16.0357,13.8512,14.345,12.8999,15.1331,15.5762,16.4634,12.6441,9.5238,9.8498,9.9627,10.7068,10.7906,10.8264,9.9467,10.3072,11.0034,12.0055,13.695,12.1951,9.4244,8.3441,9.1673,8.8913,7.6682,5.5192,5.3853,4.9778,7.3322,6.9956,7.2827,6.8232,5.3929,5.8667,7.3852,7.5658,8.0665,7.3793,7.0285,7.3576,8.7055,7.7224,8.1525,8.3817,6.9751,7.4109,8.1851,8.9678,9.5411
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",4.6483,4.3991,3.9871,4.181,4.4539,5.5147,6.6595,8.4227,9.5551,9.5404,9.5715,9.4866,9.7049,8.6544,8.2468,8.1048,7.9427,8.4023,8.3316,8.8427,8.704,8.6184,8.1457,7.6215,6.79,5.928,4.8274,4.6458,4.5077,3.8411,4.2124,5.3446,5.7074,6.4733,5.942,5.9524,6.3337,6.4454,7.438,7.2473,6.9444,7.7435,8.8585,10.7595,12.6074,13.6147,13.5102,15.1011,13.8488,13.5057,14.2857,13.3823,12.2768,11.8002,13.5014,14.2857,14.9724,14.63,12.1044
"East New York","New York","NY","New York","Kings",3.6986,3.6616,4.6707,4.9255,5.8559,4.117,4.0165,4.0615,4.1624,4.2448,3.7229,4.0948,2.4946,3.2804,3.3514,3.4014,3.9735,4.0745,4.2391,4.814,3.9153,3.3503,3.5971,2.9703,2.5465,2.4862,2.7778,2.1825,2.7601,2.8926,2.9289,2.4134,2.5826,2.5082,2.7682,3.7349,6.7834,6.3918,6.8687,5.1081,5.0607,4.0856,4.1322,4.401,6,3.972,8.2192,6.9474,6.422,4.5814,3.7196,3.5065,4.1488,4.3546,3.6832,3.7267,3.1325,3.9443,3.972
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",5.1513,5.4502,4.4335,4.0462,4.9265,5.7872,5.974,7.4074,8.3483,7.5718,9.3137,7.6475,7.3442,6.1608,6.0569,5.4979,5.1116,6.0827,5.3833,6.9089,7.2368,7.3141,7.196,7.457,7.7465,7.7658,6.9907,6.3063,6.38,5.9448,5.8824,4.8287,4.6068,5.589,5.9281,6.5463,10.5058,10.041,9.7665,7.4246,7.9545,8.4906,11.1663,14.5503,18.8889,17.0667,14.8571,13.0919,14.3251,13.3858,11.9048,11.5183,10.1563,9.7187,12.3737,13.1646,13.5,10.5769,9.628
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",5.4725,5.6962,5.8184,6.3878,7.021,7.8684,8.6287,9.678,11.8832,11.2301,11.369,11.0217,11.4273,10.0259,10.1078,10.1324,10,10.6107,10.3626,10.3377,9.4981,8.2718,8.0543,7.1691,6.7735,6.2465,5.3685,4.8203,4.4796,4.1175,5.2041,5.8515,6.3605,6.2591,5.1233,5.1489,5.7971,6.453,5.374,7.1553,7.4026,9.0839,9.9099,10.5459,13.1455,14.6415,14.3084,14.8718,13.3874,13.267,14.3218,14.5521,14.1195,14.8218,15.138,15.6841,16.4093,15.3287,13.3898
