"RegionName","City","State","Metro","CountyName","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Paradise","Las Vegas","NV","Las Vegas","Clark",8.61,8.59,8.52,8.37,8.2,8.03,7.92,7.8,7.66,7.64,7.57,7.56,7.57,7.5,7.46,7.45,7.45,7.53,7.6,7.64,7.75,7.93,8.1,8.25,8.46,8.69,8.86,9.02,9.2,9.43,9.53,9.76,10.01,10.22,10.47,10.75,11.03,11.23,11.34,11.3,11.4,11.5,11.9,11.71,11.77,11.79,11.86,11.92,11.98,12.12,12.27
"Upper West Side","New York","NY","New York","New York",25.07,23.82,23.9,23.89,25.13,25.65,23.35,24.87,24.17,24.58,25,22.42,21.32,20.67,20.69,20.41,20.31,20.58,20.27,20.43,20.69,20.91,20.78,20.84,21.07,21.02,21.44,21.98,22.34,22.66,23.4,23.75,24.06,24.42,24.64,24.45,25.21,25.48,25.66,25.99,25.96,26.16,25.97,26.08,26.01,25.18,24.75,24.75,25.03,25.47,25.38
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",10.44,10.2,10.16,10.3,10.25,10.35,10.64,10.68,10.67,10.46,10.37,10.44,10.55,10.61,10.59,10.56,10.78,10.88,10.49,10.38,10.02,10.24,10.66,10.85,10.97,11.01,11.04,11.1,11.14,11.31,11.57,11.79,12.14,12.39,12.64,12.89,12.92,13.02,13.12,13.19,13.27,13.46,13.46,13.75,13.81,13.64,13.5,13.31,13.22,13.01,12.84
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",14.51,14.25,14.34,14.19,13.96,13.94,13.81,13.63,13.36,13.26,13.22,13.23,13.25,13.15,13.12,13.03,13.12,13.12,13.02,13.06,13,13.21,13.4,13.63,13.73,13.88,13.93,13.95,14.15,14.51,14.86,15.13,15.53,15.88,16.07,16.2,16.33,16.53,16.67,16.6,16.77,16.94,17.18,17.11,16.95,16.91,16.95,16.85,16.78,16.8,16.75
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",6.85,6.87,6.69,6.55,6.51,6.44,6.34,6.14,5.97,5.91,5.91,5.83,5.81,5.8,5.84,5.79,5.82,5.86,5.81,5.84,5.92,6.04,6.22,6.39,6.57,6.77,7.02,7.16,7.37,7.58,7.73,7.98,8.24,8.52,8.77,9.02,9.26,9.4,9.54,9.64,9.7,9.71,10.03,9.97,10.15,10.27,10.37,10.47,10.57,10.68,10.76
"East New York","New York","NY","New York","Kings",18.46,18.11,17.32,17,16.35,16.2,16.23,15.52,14.11,14.14,14.37,15.07,15.56,15.23,14.44,14.28,14.39,14.6,13.51,13.2,13.28,13.68,13.53,13.73,13.71,13.46,13.13,13.2,13.01,13.06,13.16,12.63,12.01,12.23,12.29,12.14,12.35,12.55,12.87,13.24,13.37,13.4,12.66,12.61,12.23,12.09,12.18,12.93,13.56,13.77,13.96
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",8.36,8.35,8.33,8.55,8.7,8.73,8.82,8.88,8.98,9,8.93,8.86,8.96,9.04,9.17,9.19,9.41,9.53,8.92,8.78,8.55,8.83,9.2,9.43,9.61,9.72,9.81,9.89,9.96,10.15,10.33,10.47,10.65,10.85,11.08,11.29,11.49,11.63,11.83,11.94,11.97,12.13,12.33,12.61,12.83,12.64,12.55,12.36,12.35,12.15,11.99
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",9.07,9.09,9.1,8.96,8.71,8.63,8.59,8.45,8.34,8.32,8.32,8.27,8.25,8.21,8.17,8.17,8.2,8.31,8.41,8.44,8.51,8.69,8.87,9.06,9.22,9.43,9.62,9.77,9.99,10.22,10.42,10.64,10.86,11.1,11.34,11.62,11.87,12.08,12.21,12.2,12.24,12.34,12.7,12.57,12.66,12.69,12.78,12.86,12.97,13.11,13.24
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9.24,9.14,8.92,8.9,8.91,9,8.8,8.74,8.63,8.67,8.74,8.76,8.77,8.82,8.88,9.01,9.14,9.38,9.53,9.68,9.76,10.11,10.48,10.75,11.06,11.27,11.4,11.44,11.54,11.74,11.96,12.36,12.64,12.94,13.01,13.05,12.92,13.09,13.1,12.91,12.9,13.01,12.98,12.78,12.69,12.67,12.62,12.65,12.69,12.84,12.95
"Astoria","New York","NY","New York","Queens",28.64,30.52,29.33,28.96,28.39,28.34,26.63,27.4,27.83,28.47,28.2,27.1,25.6,24.97,25.46,25.37,24.09,24.08,21.25,21.09,20.83,20.84,20.84,21.54,21.35,21.81,21.78,21.78,21.94,21.83,21.84,22.19,22.52,22.68,23.17,22.48,22.42,22.17,22.27,21.96,21.67,22.11,21.6,21.47,21.39,21.52,21.95,22.21,21.93,21.71,21.74
