"RegionName","City","State","Metro","CountyName","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",0.9688,0.9705,0.9597,0.961,0.9718,0.9764,0.9754,0.9647,0.9808,0.9791,0.9655,0.9656,0.9817,0.9864,0.9791,0.9734,0.9631,0.9639,0.9807,0.9889,0.9862,0.9689,0.9656,0.9719,0.9732,0.969,0.9754,0.9561,0.9438,0.9452,0.9527,0.9518,0.9527,0.9565,0.9635,0.9625,0.962,0.9593,0.9721,0.9575,0.9536,0.9561,0.9623,0.9736,0.9743,0.9763,0.9688,0.9775,0.9831,0.9842,0.9817,0.9798,0.9808,0.9854,0.9912,0.9953,0.9983,0.9988,0.993,0.9881,0.9848,0.9851,0.984,0.9805,0.9874,0.9951,0.9975,0.9987,0.9994,0.9973,0.9974,0.9935,0.9863,0.9577,0.9527
"Paradise","Las Vegas","NV","Las Vegas","Clark",0.9772,0.9741,0.9713,0.9669,0.9765,0.9886,0.9813,0.9784,0.9807,0.9917,0.9977,1.0022,1.0017,1.0008,1.0013,1.0059,1.0039,1.002,1.0004,1.0002,1,1,1,1,0.9917,0.9942,0.9975,0.9881,0.9872,0.989,0.9905,0.9926,0.9967,0.9992,1,0.9945,0.9946,0.989,0.9937,0.9887,0.9925,0.9938,0.9978,0.9992,1,1,1,1.0003,1.0002,1.0001,1,1,1,1.005,1.0038,1.0021,1.0004,1.0005,1.0003,1.0001,1,1,1,0.9958,0.9971,0.9987,0.9981,0.9925,0.9918,0.9895,0.9877,0.9895,0.9917,0.992,0.9881
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",0.9258,0.9248,0.9348,0.9312,0.9164,0.9114,0.9323,0.957,0.9833,1.0172,1.0241,1.0187,1.0102,1.0043,1.0011,1.0007,1.0019,1.0012,1.0004,1,1,1,1,0.9875,0.9803,0.9876,0.9815,0.974,0.9847,0.9886,0.9952,0.998,1.0029,1.0244,1.0225,1.0123,1.0171,1.0114,1.005,1.0003,1,1.0085,1.0349,1.0378,1.0335,1.0297,1.0135,1.0043,1.0019,0.9919,0.994,0.9972,1,1,1,1.013,1.0091,1.0039,1,1,1,0.9914,0.9905,0.995,0.9957,0.9977,0.999,1,0.9984,0.9989,0.9995,1,1,0.9981,0.9958
"Upper West Side","New York","NY","New York","New York",,,,,,,,,,0.914634146341463,0.9239,,0.9198,0.9309,0.9314,,,,,,0.969899665551839,0.9626,0.9574,0.9578,,,,0.941202503477051,,0.9511,0.9546,0.9609,0.9619,0.967,0.9732,0.9694,,0.9571,0.9416,0.9414,,,0.9619,0.9647,0.9636,0.9675,0.9724,0.9751,0.9678,0.9703,0.9743,0.9768,0.9797,0.9819,0.9751,0.9762,0.9829,0.988,0.9947,0.993,0.9962,0.9911,0.9878,0.9876,0.9914,0.9899,0.988,0.987,0.9935,0.9981,1,1,1,0.9942,0.9917
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",0.9654,0.972,0.9692,0.9825,0.971,0.9629,0.9686,0.9869,0.9971,1.0001,1,1.0135,1.0096,1.0125,1.0157,1.0295,1.0068,0.9998,0.9976,1.0003,1,1,0.9933,0.9953,0.998,1,1,1.0006,1.0004,0.9942,0.9844,0.9886,0.9854,0.9925,0.9914,0.9782,0.9851,0.9951,0.9944,0.9913,0.995,0.9947,0.9973,0.9988,1,1,1,1,1,1,1,1,1,1,1,1,1.0002,1.0003,1.0004,1.0004,1.0003,1.0002,1.0002,1.0001,1.0001,1,1.0014,1.001,1.0004,1,1,1,1,1,0.9958
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",0.9691,0.9663,0.9608,0.9611,0.9743,0.9775,0.9893,0.9895,0.9881,0.9876,0.9935,0.998,0.9936,0.9956,0.9957,0.9883,0.981,0.9891,0.9967,0.9945,0.993,0.9879,0.9839,0.9828,0.9788,0.9789,0.9785,0.969,0.9764,0.9746,0.977,0.981,0.9812,0.9748,0.971,0.9738,0.9774,0.9792,0.9797,0.978,0.9804,0.983,0.9828,0.9905,0.9949,0.9985,0.9925,0.9941,0.9924,0.9964,0.9986,1.0001,1.0001,1.0067,1.0072,1.0116,1.0169,1.0167,1.0108,1.0103,1.0052,1.0019,1,0.992,0.9944,0.9976,1,1,1,1,1,0.9957,0.9903,0.9851,0.9867
"Upper East Side","New York","NY","New York","New York",,,,,,,,,0.909090909090909,0.918,0.9307,0.9443,,,,,,0.939393939393939,,,0.932203389830508,,,,,,,0.926928281461434,,,,0.936170212765957,0.9524,0.9581,0.9557,0.9361,0.9523,0.9488,0.9497,0.9482,,0.9473,0.9504,0.9554,0.9571,0.9606,0.9585,0.9627,0.9621,0.959,0.9583,0.9579,0.9552,0.9585,0.9658,0.9674,0.9729,0.975,0.9802,0.9841,0.9904,0.9862,0.9856,0.9821,0.9763,0.9721,0.9743,0.9761,0.9849,0.9901,0.9905,0.9915,0.987,0.9859,0.9848
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",0.9661,0.9844,0.9939,0.9857,0.9747,0.9647,0.9788,0.9923,0.9993,1.0062,1.0091,1.0186,1.019,1.0214,1.017,1.0207,1.0113,1.005,1.0009,1.0012,1.0012,1.0013,1.0012,1.0009,1.0004,1.0001,1,0.9959,0.9971,0.9988,1,1,1,1,1,1,1,1,1,1,0.995,0.9965,0.9985,1.0005,1.001,1.0006,1.0005,1.0006,1.0004,1.0001,1,1,1.0001,1.0004,1.0003,1.0019,1.0013,1.0005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9945
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",0.9401,0.9338,0.9672,0.984,1.0013,0.9555,0.9691,0.9834,0.9982,0.9943,0.9837,0.9961,1.0201,1.0171,1.0079,0.9956,0.9847,0.9902,0.9795,1.0256,1.0211,1.0072,0.9934,0.9962,0.9978,0.9992,0.9897,0.9855,0.9917,0.9977,1,0.9984,0.9989,0.9995,1,0.9777,0.9844,0.9761,0.9799,0.9894,0.9868,0.9805,0.986,0.9881,0.9948,0.9981,1,0.9837,0.9886,0.9955,1.0003,0.9901,1.0046,0.9924,0.9946,1.0043,1.006,1.0107,1.0059,1.0026,1.0001,1,1,0.9984,0.9989,0.9995,1.0002,1.0001,1.0001,1.0089,1.0064,1.0028,1.0001,1,1.0001
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",0.9719,0.9779,0.9894,0.9802,0.9697,0.9634,0.9684,0.9825,0.9941,0.9992,1.0054,1.0098,1.0145,1.0195,1.0146,1.0067,1.0015,1.0004,1.0002,1.0004,1.0002,1.0001,1,0.9933,0.9828,0.9738,0.9733,0.9751,0.9785,0.9806,0.9796,0.9802,0.9839,0.988,0.9874,0.9865,0.9848,0.9844,0.9823,0.9865,0.9942,0.9925,0.9935,0.9967,0.9994,1,1,1,1,1,1,1,1.0003,1.0015,1.0011,1.0005,1,1.0017,1.0012,1.0005,1,0.9992,0.9972,0.989,0.9876,0.9857,0.9889,0.9894,0.9856,0.9859,0.9868,0.9838,0.9799,0.9801,0.9765
