"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Paradise","Las Vegas","NV","Las Vegas","Clark",197900,197200,197300,197400,197300,197700,198000,199200,200800,201500,200800,199900,199100,198900,198500,197800,197300,197600,198500,198600,197700,197200,197700,198100,198300,198500,199000,199400,199500,199300,198500,197900,198800,200200,201000,202900,205400,206700,207100,207800,208800,211000,213800,216500,218900,220300,220400,220400,220600,220500,219900,219900,221800,224000,224700,225500,227100,228500,228600,228000,228100,228500,229000,230800,234000,236700,238700,239800,240700,241700,242300,242900,244600,247000,249700,251600,252300,252100,252800,254600,257500,260900,264500,266900,268700,270600,272600,275400,279800,285800,292800,299500,304700,311700,323600,338400,354400,372500,391100,406800,417100,423500,429400,436300,442100,445500,449900,457600,465300,470000,473200,476000,478800,482200,485600,490700,495500,498700,500400,501300,500200,498000,496600,496000,494900,491800,488600,485700,484000,482500,479900,475900,472800,471100,468400,464000,459700,456000,451900,446400,438900,429700,418500,406100,392500,379600,368400,358700,349300,341000,332800,321900,313800,310300,306400,298900,290400,281500,272500,264300,258200,254900,253000,251500,248500,245500,243900,243200,241500,239200,237000,235700,234200,231700,228700,226500,225400,224000,221200,218400,216200,214000,212100,211400,211300,210700,209500,209100,208200,206300,205000,205500,207700,211300,214900,218000,221600,225800,229500,233200,236300,239000,242600,247000,251800,258000,265700,271900,276100,279000,282100,284800,287900,291000,293600,296100,299300,302100,304200,306000,308000,309800,311700,314300,316800
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",74100,74100,74300,74700,74600,74500,74700,75200,75300,75400,75700,76300,76800,77200,77800,78200,78200,78400,78800,79200,79600,80200,81100,81800,82100,82600,83500,84200,84600,84800,85000,85300,85600,86000,86800,87700,88500,89100,89500,90100,91100,91800,92000,92200,92700,93100,93800,94700,95800,96900,98200,99000,99500,99900,100600,101200,101900,103200,104500,105400,106300,107100,107500,107800,107900,108100,109000,109800,110200,111000,112400,113800,114900,115500,116000,117100,118300,119000,119400,120300,121600,122800,123100,123800,125100,126300,126900,127500,128200,128900,129400,130400,131500,131700,131700,132200,132500,132900,133400,134300,136200,138700,141100,143600,146400,149900,153300,156500,160400,165600,171500,178200,185100,192700,199800,205700,211100,215900,219400,221300,222400,223800,226000,228400,230700,231500,231900,232600,233900,235200,235300,234300,232800,231700,232000,232800,231600,229400,227700,225300,220800,216100,212300,208600,205100,201300,196600,191800,187500,183300,179100,175600,172200,167600,161800,156600,151800,146700,140600,135200,131600,129400,126300,122400,119000,116300,113900,112800,111800,110100,107600,104300,99800,96100,93900,92300,90000,88200,88000,87500,86300,85700,85400,84100,83300,82800,81700,80600,81000,82500,84800,87000,89200,91900,94900,96400,96500,96700,98100,100400,102900,104900,106000,107900,110700,112900,115100,117900,121000,121900,122900,124300,124600,123500,124100,125300,126000,126200,126900,128900,132100,135500,138000,139100,140000
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",145700,144700,144700,144500,142400,139100,137500,138400,140300,141400,141900,142500,143100,143300,143300,143200,143500,144500,145700,146400,147000,147700,148400,148900,148900,149200,150700,152700,154700,156900,158700,159100,158600,158100,158500,159600,160300,160500,160200,159900,160300,161700,162900,164200,165300,166200,167700,169700,172300,174400,175500,175400,175400,175100,174800,175800,178100,180600,182000,183300,185100,187300,189100,190500,191300,191600,191600,191700,192600,194300,196200,198500,201500,204700,207800,211100,215100,220700,226500,230900,233800,236300,238800,241700,244000,245500,248300,253300,259100,263700,267800,272400,278600,285800,293100,299900,308000,316500,324900,332600,339800,347200,356200,365200,373800,383900,394600,404700,414500,424400,432800,440300,449400,458500,466900,474000,478300,480200,484300,489500,495900,506800,521100,534100,542700,547800,550500,552500,555900,560100,561500,561200,560800,558000,552100,546600,542600,539600,533700,525000,516400,509700,501800,492100,479400,467600,457400,446700,434100,420600,408800,402500,394200,381400,371800,367100,360300,350100,339600,330000,322600,317600,315500,313500,312100,310800,308300,304300,300000,295700,292900,292200,292900,294300,294700,293600,292200,291400,291000,290100,290000,289300,287300,285500,283800,282600,282900,285300,287900,289400,289200,289400,290900,293100,296000,298700,300600,301700,303200,303800,306700,312400,318600,324100,330900,338500,345500,351500,357400,362800,367800,372200,376300,380400,385300,389600,394400,401200,407900,414200,420300,425600,429200,432200,434300
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",409900,410500,407500,402100,395300,396100,401200,404600,410300,423200,432500,436500,439000,442300,442700,438100,431000,426400,421400,420300,427100,438400,449000,456300,460900,470800,480500,481300,480700,480700,483900,495000,508700,514800,519600,525500,527800,521500,518400,530100,547200,558500,561300,558000,547900,539800,536400,538100,543900,551200,559300,568000,579500,591700,602800,607100,607000,609400,616700,623400,622700,621200,625300,626900,618900,609900,619200,635600,645400,648200,651500,655300,668300,686700,702800,719700,735900,747300,752100,754700,758500,763200,768900,778500,794100,807000,814500,825300,837600,844700,846400,858500,885500,910300,919800,929700,948800,967500,977700,978300,985200,999300,1010200,1023300,1043500,1059600,1072700,1092700,1111900,1120900,1127800,1142000,1166000,1188400,1202400,1209400,1203800,1210600,1227200,1229300,1211300,1219800,1247700,1277700,1295300,1313000,1328300,1332900,1324900,1315400,1314500,1312500,1305500,1291300,1279600,1271900,1267100,1265100,1265100,1259600,1252300,1245700,1232900,1212800,1189600,1169800,1154000,1137900,1121000,1108000,1098100,1085100,1075900,1074700,1077600,1078400,1078700,1074400,1066100,1058500,1054100,1048200,1044900,1050800,1059900,1057500,1056400,1065800,1077000,1077000,1069100,1052100,1035200,1020200,1007900,999500,998900,997300,992300,992200,1000500,1002300,1003200,1006100,1005300,1003300,1004200,999900,993500,994400,1001300,1000600,996200,1004600,1021300,1034000,1045900,1058300,1073800,1090900,1100500,1112200,1132900,1157600,1176600,1191400,1206500,1229200,1241600,1245600,1248000,1254900,1270300,1283800,1277300,1268100,1275100,1285300,1283400,1275600,1278500,1290200,1300700,1309200,1317000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",172900,173300,173800,173200,173100,174300,175500,176100,177000,177600,177700,177500,177500,177600,177600,177400,177300,177400,177500,177000,176200,176000,176500,177100,177700,178300,179700,181700,182800,182800,182100,181700,183200,185900,187400,187900,188700,189800,190400,191200,192400,193700,195500,197500,198300,197600,197100,197000,196200,194400,192900,192300,192700,194000,196200,198300,199600,200900,201800,201700,201500,202100,202900,204700,207300,208800,209300,210500,211400,211300,211200,211200,211300,212300,213700,214900,216300,217800,217900,218100,219600,222000,224700,228100,231700,235400,238500,241800,244700,248300,253400,259900,267000,275300,284300,296400,310800,325100,340300,353300,361200,366800,372800,377500,383100,388300,392400,395000,397800,401900,408300,415700,421700,425700,431300,437100,439100,439900,442700,443800,442800,442600,441100,438900,439400,440500,440300,439800,439400,438700,438300,437800,436000,431300,425800,420300,414300,407700,401100,392800,384200,376000,368300,359300,349700,342100,336000,328200,317800,308600,300100,289100,276900,267600,260500,254400,248500,239400,225200,211700,204600,202600,200200,199700,201300,201200,197100,193400,190200,187100,185000,184900,185200,183600,181300,179900,179300,178000,176300,174200,172700,171500,170900,170500,169900,168800,167700,166100,164300,163200,162900,163300,163700,164900,167600,170900,173400,174200,175500,178100,180100,181600,184400,187400,190000,193500,197800,202400,206500,210700,215200,218400,220300,222700,226000,229900,233600,237300,241300,244400,245400,245700,246700,248200,249600
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",127100,125500,124600,123500,121500,119000,117600,117600,118600,119800,120700,122100,124500,126300,126900,128000,129800,131800,133000,134100,135500,136300,136100,136100,137100,137800,138200,138200,138700,139900,141000,140600,139500,138300,137400,137000,136800,136700,136500,136900,137800,138600,138700,138900,138900,139300,140700,142800,143400,143000,143500,144400,144800,144800,145100,145900,147200,148800,150100,150500,150800,152600,154200,155100,155600,156100,156900,157500,158100,159200,160400,161500,162800,164000,164900,165700,166700,168100,170600,174000,177100,179900,183600,187700,191100,193500,195900,198900,201400,203700,206900,212300,218900,224700,229500,234300,240200,247200,254400,260000,266100,273800,281900,287300,291400,297200,304400,311800,320100,329800,341200,353500,364500,374100,383400,391100,397700,403600,408600,413400,419000,426100,435200,446400,456600,463800,466900,468000,472000,479300,484100,485400,486100,485100,482500,480200,479300,478100,474300,469000,465100,462300,457200,450200,442100,433200,422500,411000,399300,387300,375600,364900,347600,325200,308800,299600,289700,278900,269100,261500,255100,249300,244400,242200,242900,244000,243300,240400,237900,235700,232200,228200,226700,227500,228400,228600,228200,227600,226900,226400,226600,227000,227600,227800,226300,224200,222500,222000,222600,223700,226000,228700,230500,231500,232200,232200,232500,234400,238100,242600,247700,252800,257300,261200,264900,268900,273900,278700,283800,288300,293400,297700,300600,303600,307000,311600,319000,326600,332000,337400,341800,344800,347000,348400,349000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",237900,235100,233100,232000,231100,230100,229000,228100,229700,232800,234500,234900,235400,235600,235300,234100,233400,233300,233300,232900,233000,232700,232500,232700,233800,234800,236800,240300,243300,244700,245300,245700,245500,244800,244600,245300,245500,245800,246500,246900,246900,248000,249300,250700,251600,251700,251900,252300,253100,254700,255800,256000,256800,258200,259900,261900,263800,266000,267800,268800,269400,269500,269300,269300,269800,271000,273400,275900,277100,278000,278800,279500,279800,280700,281600,282400,283400,285000,287000,289100,291400,293500,295900,298500,301400,304300,307300,311200,316300,322500,329300,337800,347400,356900,368200,384900,405900,426700,446800,465700,480700,489700,496300,502900,510600,518200,523900,525400,525300,527400,530700,534100,537500,541000,544200,546900,548900,551000,554300,557400,558700,558400,558200,557900,558600,560600,560900,558200,553700,549600,546000,542600,538500,535200,532200,529200,523700,514700,505100,497000,487200,475000,462500,449700,437500,424400,411700,401600,394700,388300,380300,368800,359600,354900,349800,341500,332900,324100,313700,303100,294500,289600,287200,287000,287500,287500,286100,283300,279800,277500,276400,274900,272000,269200,267100,265700,263800,261300,259300,258600,257300,255600,254500,253400,251800,250000,248400,247000,245800,244700,244900,247600,252400,256700,259700,262000,263900,265300,267700,271300,274400,276900,280200,284100,287700,293000,300400,308700,316800,324000,329700,334900,339400,342100,344100,347600,351500,354600,356400,358400,361100,364500,366800,368400,369600
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",195300,193800,192000,191200,192200,193800,193900,194200,195600,196500,196600,195600,194600,194800,196200,196700,197000,199300,203100,205500,206300,207500,209200,210700,210900,212300,214700,216900,216600,216400,216000,215300,215400,217100,220200,224200,227700,229800,231600,233200,235300,236600,236800,236800,237800,238600,238800,239700,242000,244800,247300,250500,252700,253400,254100,254300,254500,257100,259800,260700,261700,263400,264400,266300,269200,271500,272600,273600,274900,277100,280000,282600,285200,286000,284500,282900,284100,286500,288600,291700,295800,298100,298400,298500,299300,301000,304300,308300,311800,314300,317800,321600,325800,330100,334800,339100,342700,346100,349700,351900,353500,357900,365200,373100,380800,390000,401000,414400,428400,442300,457300,475400,491200,502000,511400,522400,528800,528900,526500,525200,526200,530800,536200,538300,538200,537800,537000,536200,535500,534400,533000,529300,521600,514000,509100,505100,501800,499800,498000,493600,486800,477700,468000,458900,452400,446100,435500,422200,410300,399900,389100,377600,369700,365800,362400,356600,348200,338400,330700,326500,323900,322000,319700,317300,315000,313900,312300,309400,307400,306000,302700,298100,294000,289100,284000,280000,276000,272500,272600,274500,274800,274200,274700,275500,275600,275600,277200,280400,284400,288400,291900,295500,299600,304200,309800,315800,321500,327700,334200,338200,340900,343800,347300,352200,360000,368300,374600,379600,384800,386600,386600,388600,391300,390700,389200,390400,392400,392700,390600,388100,385700,386900,388300,389000,389600
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",223600,221900,220600,219300,218800,219200,219600,220200,221800,223900,225400,226300,226800,227200,227000,227100,227400,227900,229000,230400,231700,233200,234800,236300,238100,240100,242000,243300,244800,246100,246000,246000,246900,248600,250400,252800,255700,258700,260400,261800,264300,267400,269700,272100,275500,278300,280200,282300,284500,286200,287600,289500,290800,292300,294800,297300,298100,298800,300100,302400,305300,307300,308900,310600,311200,311600,313200,314300,313100,312000,312900,315100,316500,317600,318500,320000,322500,325500,327400,329500,332900,336300,337500,337200,338300,340900,344300,348200,352200,354300,357100,360400,364000,367500,371900,376400,381800,389100,398700,406800,413200,421700,432200,444900,460400,477500,496400,517100,535500,553000,572800,593000,610700,627100,640700,650000,655400,659100,659800,656000,650900,647900,645300,644400,646800,647500,646300,647100,649100,649600,648400,645500,641400,636700,630600,624300,618200,611100,604600,599300,591200,580000,570300,564600,559500,551800,542300,533700,526000,518300,510600,499700,489800,484000,478200,469300,463000,458100,451400,443700,437800,434700,432700,429800,427600,426600,424900,422500,420300,417800,415200,410800,404000,396400,388000,381600,377400,373300,371800,374300,376500,376300,375900,376800,377500,378500,381000,383900,385900,390100,396300,401800,406000,411000,417900,426300,435400,444800,453500,460600,466300,470100,471400,476300,484900,492800,497200,502100,508000,511000,511900,515000,520400,523600,526200,525000,519800,515500,513200,509800,507100,507200,509900,513100,514700
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",190000,189400,189400,190300,191500,191000,192400,195200,197600,199400,199700,199400,199400,198500,198400,201600,203300,203400,205200,206400,206800,209700,213000,215100,215700,216300,217700,219300,221600,223700,224400,224100,223300,221700,222500,224900,226700,229600,232500,234600,237100,239800,240500,241800,244000,246100,247900,249500,251100,253900,255800,256700,257300,259200,260500,260500,260400,260500,261600,264400,268100,269800,269300,268500,269700,271500,272000,272500,273000,272500,271800,274300,276700,277600,277800,278100,277300,278300,280500,283700,287600,291400,294000,294800,296000,298800,302200,304700,307800,310100,312300,313700,315300,319300,324400,327100,328900,331600,334500,338100,342700,348000,354900,364900,375600,387200,398800,409700,423100,438800,455700,472400,487700,499300,510100,519900,529700,536300,537400,534900,533900,534700,536300,536900,537400,541000,544500,542700,537400,534600,535500,536800,533600,528800,528400,527700,525000,520800,517000,512900,509500,504200,494600,484800,476700,469300,458100,447700,437100,427900,419500,411500,404900,400300,394200,387300,381500,374500,368100,366700,366000,361700,355800,352800,349400,343600,339500,338400,337700,337000,336000,329900,322100,315900,311000,305700,300400,296800,301000,308200,309300,306800,305600,304400,304300,305400,306700,308600,312000,316600,320500,323200,326200,330200,334200,340300,349900,360200,366400,370400,375200,379600,381700,385000,392300,398700,401600,403700,403600,400100,399800,403500,404900,402700,398500,394400,392200,391800,390900,390300,389400,390300,393100,395600,396200
