"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Paradise","NV","Las Vegas","Clark","Las Vegas",0,169500,0.00772889417360285,0.0241691842900302,0.0963777490297542,0.051281820286148,-0.0411032734720607,"2006-07","2006-Q3",293800,-0.423076923076923,"2003-11"
2014-12-31,"Upper West Side","NY","New York","New York","New York",1,1305600,0.00608769361177468,0.00997911348340682,0.0067859346082665,0.0643379214324968,,"2014-05","2014-Q2",1316400,-0.00820419325432999,"2014-04"
2014-12-31,"South Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",2,329800,0.0021270130659374,0.0101071975497703,0.135674931129477,0.0774737623400314,0.00725522660754141,"2007-04","2007-Q2",455100,-0.275324104592397,"2005-04"
2014-12-31,"Sherman Oaks","CA","Los Angeles","Los Angeles","Los Angeles",3,507300,0.00555004955401388,0.0113636363636364,0.0684498736310025,0.0525989038318939,0.00685511475311618,"2006-08","2006-Q3",591700,-0.142639851275984,"2005-05"
2014-12-31,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",4,133300,0.00984848484848485,0.0301391035548686,0.17756183745583,0.0643294183910874,-0.0423609826902126,"2006-09","2006-Q3",259400,-0.486121819583655,"2002-12"
2014-12-31,"East New York","NY","New York","Kings","New York",5,326200,0.00184275184275184,0.0102198823165067,0.0451778276193528,0.00441093102428036,0.0205342640207085,"2007-11","2007-Q4",390300,-0.164232641557776,"2005-12"
2014-12-31,"Southeast Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",6,282300,0.00570003562522266,0.019501625135428,0.152715394038383,0.110174083978972,0.00943364397612956,"2007-02","2007-Q1",409500,-0.310622710622711,"2005-04"
2014-12-31,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",7,182600,0.00717043574186431,0.0218242865137101,0.105996365838886,0.0600766793852279,-0.04143669337067,"2006-03","2006-Q1",305300,-0.401899770717327,"2003-12"
2014-12-31,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",8,186400,0.0092041147807255,0.0253025302530253,0.0332594235033259,0.0516603601139085,0.00684985924787473,"2006-02","2006-Q1",258200,-0.278079008520527,"2005-03"
2014-12-31,"Astoria","NY","New York","Queens","New York",9,646100,0.00575965130759651,0.0178008821676118,0.0771923974658219,0.0521857191979369,0.0500130655236197,"2014-12","2014-Q4",646100,0,"2014-12"
2014-12-31,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",10,269600,0.00334946036471902,0.0108736407949006,-0.00991553433712817,0.0428310316681513,0.0125449059156304,"2006-02","2006-Q1",350000,-0.229714285714286,"2005-04"
2014-12-31,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",11,150300,0.0100806451612903,0.023841961852861,0.0100806451612903,0.0479858654191592,0.00154329195067504,"2006-07","2006-Q3",222300,-0.323886639676113,"2005-01"
2014-12-31,"Washington Heights","NY","New York","New York","New York",12,560400,-0.00761466265273597,-0.013727560718057,0.111243307555027,0.0525475284363002,0.0558966361909636,"2014-07","2014-Q3",575200,-0.0257301808066759,"2014-06"
2014-12-31,"Hollywood","CA","Los Angeles","Los Angeles","Los Angeles",13,643600,0.0103610675039246,0.0305844675740592,0.150929899856938,0.053057121168308,0.0227600171536644,"2014-12","2014-Q4",643600,0,"2014-12"
