"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Paradise","Las Vegas","NV","Las Vegas","Clark",178200,177300,176600,176000,175200,175100,175600,176700,177700,178100,178400,178900,179200,179200,179100,178900,178600,178400,178600,178700,178600,178600,179000,179000,178600,178600,179700,181400,182700,183200,183400,183900,184600,185800,186700,187200,187500,187400,187100,187000,187100,188000,189000,189900,191200,192700,193500,193800,194500,195300,195900,196500,197300,198200,199200,200400,201400,202400,203600,205200,206900,208000,208800,209700,211600,213600,215000,216300,217900,219600,221400,223200,224900,226300,227100,227500,228000,228800,230600,232900,235400,237900,240200,241900,243600,245500,247700,250800,255100,259700,264600,270800,278400,286800,296300,307600,320200,335800,353400,369900,383000,393600,401200,405400,407000,407900,409900,413600,417500,420800,423300,425200,427100,429500,432100,434700,436800,438400,439400,440100,441600,442100,441200,440000,439800,439400,439200,439600,439800,438300,435000,431200,427700,424200,420600,417000,413200,408700,404700,400200,394600,388400,381900,374000,365100,355900,347300,339000,330400,321700,312900,303200,295300,290400,285600,278700,270700,262700,254900,247500,241000,236500,233700,231500,229600,228100,227200,226800,225700,224000,222800,221800,220100,217600,215500,213700,211900,209800,206900,204000,201600,199400,197000,195400,195000,194500,193300,192300,191500,190500,190100,190200,190600,191800,193800,196100,199000,201800,204500,207400,210300,213000,216900,221700,226400,230900,236200,241500,246200,250300,254700,258600,261600,263400,264900,267500,271800,276400,279400,281200,283200,285500,287900,290700,293300
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",156700,155400,154200,153000,152200,152400,153200,153500,153800,154100,155100,156000,157000,157600,157900,157800,159100,161500,163100,164300,166300,169400,172000,173300,174500,178800,184300,188200,190600,192700,194800,196900,198000,198300,198600,199500,201800,204600,205700,206600,207800,207200,206300,206900,208900,211300,215600,221600,224800,222700,220000,219600,219300,219500,221200,221200,220800,223600,227100,229200,231900,235000,238000,239100,237400,233700,230600,230300,233600,236500,238300,240700,243900,245300,248500,255000,260600,263800,268500,273000,275000,275600,275000,273000,270900,270200,271800,274700,274500,272800,272100,273200,274900,276200,277900,281500,286600,293100,298400,302000,309100,319800,329200,337900,342500,343200,345000,351400,359000,368100,375400,381300,396500,416800,429600,437000,445800,456200,468300,477600,481500,481900,480500,482400,481200,476900,476300,477800,474100,469400,465300,458800,454600,458100,463700,464800,464900,465000,463900,463800,466100,463400,453100,441800,431900,419700,407600,397700,386800,375000,364800,351300,341500,338700,336000,328800,324000,318300,310600,301800,293600,287300,283200,279700,277300,275600,274600,273900,273600,270400,264100,258200,253000,247400,242000,237700,234300,234600,238700,243400,244700,244300,245700,248000,249200,251500,253800,256200,257500,259000,260800,264400,266100,270300,276500,281900,288000,297000,302100,303700,307900,313900,317100,321300,326500,331600,342800,356300,360800,352800,350100,357300,363300,356700,350400,346700,345400,345500,345600,342600,341400,344400,350200,354900,358300
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",263100,265100,266900,266700,265700,265600,265200,265600,268500,272400,275500,277200,277800,278000,279000,281200,285100,288600,291000,293500,297500,303300,310300,317700,323900,327900,329500,332200,336400,341300,345200,346100,345500,346600,348300,349200,349700,350200,353500,357800,359000,360800,365900,370900,374300,379000,383600,387100,389800,392500,393500,394300,395700,396700,399100,403600,407300,410700,415400,420000,422600,423400,423800,426200,431600,436600,439400,442600,447600,452100,454900,458000,461900,468200,476600,485700,495500,505700,514000,522000,531000,539600,547500,555800,565200,573600,580600,587400,595400,605300,617000,627700,636700,644200,653300,664900,680300,698900,717600,731600,740600,746200,752600,760800,767600,773900,781300,788300,797200,811800,829200,845700,857900,864100,868500,875600,883900,890700,894900,900100,906100,909800,909200,908900,910000,911600,912200,912300,909600,906900,906800,906700,903600,896400,886800,879000,875900,875600,873500,865200,853900,845700,839300,829100,812800,798800,788500,777000,764100,754600,746300,738000,733000,732800,732900,730400,726900,723500,724000,728300,731900,733300,736100,740100,746000,748300,747300,747400,749700,749400,746000,739800,734300,730300,728100,727300,727600,725900,721800,717300,713800,707500,699400,693500,689700,687300,686000,686000,686600,687800,689400,692700,698300,705200,711500,718500,726400,734200,741700,749600,759300,772700,786500,800100,813700,828900,844100,855800,864700,873400,878400,880000,881700,884000,886300,887200,886200,886000,887500,889500,892400,894100,899000,906700,912600
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",183200,183800,184700,185400,185900,187100,187700,188700,190600,192700,194200,194900,195400,195900,196200,196000,195700,196100,197400,197700,197100,197300,197900,198400,199400,200100,200300,200800,201500,202200,203100,204600,206900,209500,210800,211900,213200,214400,215100,216400,218500,221200,224500,228100,229900,229300,228500,228800,229300,229200,229100,229100,228800,228500,228200,227800,227800,228300,228600,228700,229200,230600,232300,234400,236600,238200,239400,240500,241800,244100,246700,248700,249500,249900,250200,250200,250000,249800,249700,249400,250200,252300,256100,260800,264900,267600,269700,272300,275900,280100,285800,293600,301100,308100,316600,326300,337800,352200,368200,383500,397500,407100,412000,416200,422100,427100,430000,431800,433800,436100,439600,443200,446800,452000,458100,462800,466300,468400,469600,470600,472100,473900,475700,477700,479200,479600,479000,478500,476700,474100,471600,468600,464000,459100,454000,447900,441200,435900,433000,429600,423200,415200,407300,399600,391500,383500,375000,365200,353600,342200,330600,316900,306600,301700,296500,288200,279400,270400,261300,253500,248200,245100,243200,242300,240600,237400,233800,231200,228100,224000,219400,216200,214000,211800,209400,207800,207200,206300,204000,201500,200400,199900,199400,199100,198600,197300,195500,194700,193500,191300,190400,191600,192900,194200,196200,198200,199900,201300,203600,206500,209500,212800,217400,222300,227500,232500,236500,239300,243200,247900,251400,252400,252600,253400,255700,259000,263300,268200,273000,277400,280400,282300,284400,287500,290300
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",189200,187300,185800,185400,185800,185900,185800,186400,187600,188000,187600,187200,186800,186900,187400,187500,186700,186600,186600,186700,187000,187500,187800,188700,190300,191300,192300,194000,196000,197400,198600,199500,199700,199600,199600,198900,197300,196000,195400,195200,195000,195300,195900,196300,197200,198800,200300,201500,202900,204000,204000,203600,203800,204600,205400,206100,206900,207900,208800,209400,210200,210900,211500,212300,213500,214900,216400,217800,218800,220000,222000,223900,224900,225800,227100,228600,230000,230900,231700,233500,235900,238500,240800,243000,245200,247700,250200,253400,257600,262900,269000,276300,284900,293700,303500,315900,332400,351300,370800,387800,401700,412300,420900,428000,433400,436600,439200,441100,441900,442400,442900,443200,443900,445400,447200,448400,449000,450100,451600,453300,454300,454200,453400,453200,453200,453300,452100,449500,446400,443900,440700,436800,433000,429200,425200,420800,416300,410900,405500,399700,392900,385200,375500,364400,353500,343300,333300,324300,315900,307700,299200,290200,282600,277400,272800,267500,260800,252900,245000,238500,233600,230400,228700,227900,227000,225900,225600,225900,225800,225500,225300,224500,222500,219700,217700,216100,214400,212200,209700,206800,204500,202900,201400,200000,198800,197600,196400,195700,195400,195000,195400,196500,197800,199700,202400,205000,207500,210000,212800,216200,219500,223000,227300,232500,237400,242200,247600,253600,259200,264300,269200,273500,276500,277800,278500,280300,283400,286700,289400,291600,294100,297000,298800,300600,303000
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",161900,161200,160600,160400,160900,161600,162100,163000,164400,165800,167200,167800,168100,168900,170000,170600,170900,171400,172100,172800,173200,173800,174800,175900,176600,177700,179600,181300,182000,182500,182900,183200,184200,186100,188200,190200,192000,193800,195000,195800,196500,197400,197800,198600,200000,201500,202800,204500,206400,207700,209000,210300,211300,212200,213500,214400,215500,216700,217600,218600,220600,221800,222600,223900,225100,226200,227700,229000,230200,231800,234000,236100,237600,238600,239300,240200,241400,243100,244900,247400,250200,252600,254200,254600,254700,255600,257000,259100,262000,264800,267300,269900,271500,272800,275300,279200,283800,288700,292800,297100,302100,308200,314700,322200,330000,338700,347600,357200,368000,381000,395300,409500,422500,433800,443200,451400,457300,460600,462300,463300,463800,464200,464300,463100,460700,457300,453500,450000,447900,445800,443400,440500,436800,432100,427600,424300,421800,418400,414900,411100,406000,399200,391000,382700,375100,368400,361500,354200,346400,339200,331900,323600,316000,310500,305600,299400,292600,285500,279700,275700,272700,270800,269300,267800,266400,265700,265200,264300,262900,261000,258100,254200,250200,245900,241900,238700,236200,235200,236500,238700,239800,240400,240900,240600,240000,240400,242000,244100,247100,250000,252300,254600,257500,260500,264000,268100,272800,278300,283300,286900,290200,293300,296300,301400,309600,317700,324000,328300,331300,332300,333100,334400,336100,336500,336500,335600,334100,332500,331400,330800,330700,331000,332300,334700,336800
"Astoria","New York","NY","New York","Queens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409000,414800,420400,424500,428400,433900,429200,419600,418400,429500,440500,449500,455500,462200,469900,478400,486600,498700,503900,503100,507700,519800,529000,539200,549200,558000,566400,574700,581700,589600,591700,589000,590600,598000,601900,604400,604800,600300,593500,590800,592400,594800,592200,585600,582800,586000,591400,596300,600200,600600,599000,596500,594900,595600,595400,589600,582300,578100,573800,569000,563000,563500,572100,579300,581400,583600,583400,580000,575800,571300,566500,564600,565700,567600,567200,566300,565500,565200,567100,571600,574400,574800,575400,576100,576600,577500,580500,582400,581900,579900,576300,571800,570000,570900,571200,571200,572100,573400,572800,571600,570800,568900,567800,569000,571300,573300,577300,583800,592400,599300,602000,602300,603900,608600,615100,622500,633400,645400,653900,659000,663400,667900,672400,678500,683600,684500,682600,685500,692100,699200,704600,710200,715900,720000
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",154100,154300,154400,154300,154700,155500,156100,156800,158200,159500,160300,160900,161900,162600,163100,163300,163200,163200,163600,164000,164600,165300,166000,166600,167300,168300,169400,170500,171100,171500,172100,173200,174500,175900,177800,180000,182100,183400,184000,184700,185600,186600,188000,189700,191200,192700,194000,195500,196900,198300,199400,200200,201300,202900,204400,205600,206800,208100,209400,210400,211300,211900,212700,214000,215300,216400,217300,218100,218200,218800,220100,221400,221900,222500,223100,223800,224800,225800,227000,228400,230100,232000,233300,233700,234000,234600,235800,237700,240200,243100,245800,247900,249800,251900,254400,257800,261700,266500,272200,278800,285200,291800,299200,308300,318400,328700,339700,352600,367700,383700,399000,413200,425400,435600,443800,450600,456100,460100,462500,463700,463500,462600,461600,458900,456500,453900,451300,449100,447700,445300,442300,438200,434000,430300,427500,425100,422200,417900,414100,411300,406700,399900,393400,387500,380900,374000,367400,361600,356500,351500,345600,337800,330400,325800,321400,315100,308600,302900,297300,293000,290000,288100,286800,285700,284800,284500,283800,282300,280900,279400,277300,273800,269900,266300,262800,259300,257100,256900,258000,259700,260200,259400,258500,258300,257900,258000,259300,261600,264600,267600,270800,275200,279300,283000,287400,292800,299100,306300,313200,318900,323000,325600,328000,332400,340800,350400,357500,361000,363000,363200,363300,363500,363900,363300,363200,363300,363400,363100,362000,360500,359400,359400,360300,362200,364100
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",162700,162300,161900,161700,162300,163100,164000,165300,167000,168500,170000,171200,172200,173000,174000,175000,176100,177000,177900,178400,178600,179200,180000,180700,181500,182900,184500,185600,186400,187200,187700,188200,189000,190100,191400,192900,194200,195700,197900,200100,201800,203200,204200,205200,206800,208500,210500,212900,215500,217800,219700,220300,220200,220300,221000,221400,222000,223100,224200,225200,226800,228700,230200,231700,233600,235800,237900,239200,239800,240400,241300,242700,243800,243700,243100,242800,242600,242500,243100,244700,246800,248500,249500,249300,248700,248500,249100,251700,256400,261200,265100,268200,270200,271500,272900,274700,277700,281500,285200,289000,293100,297500,303300,311000,320100,330200,341600,354700,367900,382300,397500,411600,423200,433400,441900,451000,459400,465000,467900,469400,469600,468800,468100,466500,463900,461600,460400,458300,455700,453100,451400,449800,448200,446300,444700,442400,439300,436300,434000,430700,425600,418600,410500,403400,397800,391900,384700,377500,370500,363700,356700,348600,342100,338800,335600,329000,321800,315200,309900,306400,304600,303300,301500,300000,298500,298000,297200,295500,294000,293200,291300,287700,283400,278600,273400,268400,264800,264200,266200,268700,268900,268100,267200,266900,266600,266600,266800,268300,270900,273700,276600,280500,284900,289600,294700,300500,307700,316000,323100,328200,330800,331000,331700,334600,339800,344900,349900,354200,357500,357000,356600,357000,357800,356400,355000,354300,354600,353900,352700,351700,351100,352200,354600,358000,360800
"Hollywood","Los Angeles","CA","Los Angeles","Los Angeles",205500,206100,204700,203000,201900,201000,198500,196800,197200,198600,198900,198700,199700,200400,199700,199000,200000,202500,205400,209800,215700,223000,232300,239200,241400,242100,244200,246300,249700,253200,257600,261300,260300,257500,257400,258700,258200,259100,263200,267200,269400,271800,276600,279600,278800,277400,282500,290000,294500,296300,300800,307000,311000,312700,315800,322700,330800,336100,332600,327000,326100,328200,328700,329400,333300,339500,345800,350600,352500,353800,358300,366900,374500,382500,392400,404400,415200,423800,426700,427800,434400,444400,452000,461900,473900,480700,481700,484700,491300,499000,506300,513700,527200,543700,556200,561800,568500,580600,598800,615300,627700,637400,646100,655500,665200,677400,686500,692900,704000,721500,736400,748800,755100,758300,763500,771800,778000,783900,795400,801800,807600,817000,823800,818300,812500,809000,810400,810400,806700,802600,799600,797500,796200,793900,791600,795400,803100,810000,815900,819600,819200,817700,822200,827400,820600,806300,794400,780500,766100,755700,750000,743600,732900,718700,707800,701400,697300,689400,683300,683700,685600,684400,678500,675100,676300,678600,677800,679000,679800,680000,676000,670700,669100,670500,670500,669000,670000,670400,665600,660700,660100,658900,652600,647500,647800,651500,654500,656200,656000,657900,660800,664000,665700,668600,673100,679600,683600,687500,693800,701800,710800,722000,736300,746100,749200,753300,763300,773200,783400,795800,803200,803100,804900,810400,814800,822600,835200,847700,859300,869500,872800,870100,872900,885500,898100
